Protein	gene	Indistinguishable.Proteins	Description	ko_id
7459	P11980	976_SemiBin_24_contig_6422258_4		rank: C;aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7] (db=kegg)	K02435
7460	P11981	976_SemiBin_24_contig_6422258_5		rank: C;nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-] (db=kegg)	K08281
7461	P11982	976_SemiBin_24_contig_6422258_6		rank: C;transcriptional pleiotropic repressor (db=kegg)	K03706
7462	P11983	976_SemiBin_24_contig_6422258_7		rank: C;alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2] (db=kegg)	K14260
7463	P11984	976_SemiBin_24_contig_6422259_1	MEGAHIT-MetaBAT2-S983.51_contig_6227209_12	rank: C;carbonic anhydrase [EC:4.2.1.1] (db=kegg)	K01673
7464	P11986	976_SemiBin_24_contig_6422259_4		rank: C;nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24] (db=kegg)	K09698
7465	P11987	976_SemiBin_24_contig_6422259_6		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	K01940
7466	P11988	976_SemiBin_24_contig_6422259_9		rank: C;YidC/Oxa1 family membrane protein insertase (db=kegg)	K03217
7467	P11990	976_SemiBin_24_contig_6422260_2		rank: C;glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16] (db=kegg)	K00820
7468	P11991	976_SemiBin_24_contig_6422260_4		rank: C;mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197] (db=kegg)	K02800
7469	P11992	976_SemiBin_24_contig_6422260_6		rank: C;mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17] (db=kegg)	K00009
7470	P11993	976_SemiBin_24_contig_6422260_8		rank: C;thioredoxin-dependent peroxiredoxin [EC:1.11.1.24] (db=kegg)	K11065
7471	P11995	976_SemiBin_24_contig_6422261_6		rank: C;ribosomal protein L11 methyltransferase [EC:2.1.1.-] (db=kegg)	K02687
7472	P11996	976_SemiBin_24_contig_6422262_1		rank: D;nan (db=pfam)	NA
7473	P11998	976_SemiBin_24_contig_6422262_11		rank: D;AAA domain [PF13614.11];NUBPL iron-transfer P-loop NTPase [PF10609.14];Cellulose biosynthesis protein BcsQ [PF06564.17];ATPase MipZ [PF09140.16];CobQ/CobB/MinD/ParA nucleotide binding domain [PF01656.28] (db=pfam)	NA
7474	P11999	976_SemiBin_24_contig_6422262_12		rank: C;protein tyrosine kinase modulator (db=kegg)	K19420
7475	P12000	976_SemiBin_24_contig_6422262_13		rank: D;Capsular polysaccharide synthesis, CpsB/CapC [PF19567.4] (db=pfam)	NA
7476	P12001	976_SemiBin_24_contig_6422262_14		rank: C;polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-] (db=kegg)	K01005
7477	P12003	976_SemiBin_24_contig_6422262_17		rank: C;purine-nucleoside phosphorylase [EC:2.4.2.1] (db=kegg)	K03784
7478	P12004	976_SemiBin_24_contig_6422262_18		rank: C;purine-nucleoside phosphorylase [EC:2.4.2.1] (db=kegg)	K03783
7479	P12005	976_SemiBin_24_contig_6422262_19		rank: C;phosphopentomutase [EC:5.4.2.7] (db=kegg)	K01839
7480	P12007	976_SemiBin_24_contig_6422262_20		rank: C;ribose 5-phosphate isomerase A [EC:5.3.1.6] (db=kegg)	K01807
7481	P12008	976_SemiBin_24_contig_6422262_21		rank: C;tRNA modification GTPase [EC:3.6.-.-] (db=kegg)	K03650
7482	P12009	976_SemiBin_24_contig_6422262_24		rank: C;beta-Ala-Xaa dipeptidase [EC:3.4.13.-] (db=kegg)	K01274
7483	P12010	976_SemiBin_24_contig_6422262_25		rank: D;Nitroreductase family [PF00881.29];Putative TM nitroreductase [PF14512.11] (db=pfam)	NA
7484	P12012	976_SemiBin_24_contig_6422262_45		rank: D;Acetyltransferase (GNAT) family [PF00583.30];Acetyltransferase (GNAT) domain [PF13420.12];Acetyltransferase (GNAT) domain [PF13508.12];Acetyltransferase (GNAT) domain [PF13673.12] (db=pfam)	NA
7485	P12013	976_SemiBin_24_contig_6422262_48		rank: C;lipoate---protein ligase [EC:6.3.1.20] (db=kegg)	K03800
7486	P12014	976_SemiBin_24_contig_6422262_49		rank: C;dihydrolipoyl dehydrogenase [EC:1.8.1.4] (db=kegg)	K00382
7487	P12015	976_SemiBin_24_contig_6422262_50		rank: D;2-oxoacid dehydrogenases acyltransferase (catalytic domain) [PF00198.28];Biotin-requiring enzyme [PF00364.27];e3 binding domain [PF02817.22] (db=pfam)	NA
7488	P12016	976_SemiBin_24_contig_6422262_51		rank: D;Transketolase, pyrimidine binding domain [PF02779.29];Transketolase, C-terminal domain [PF02780.25] (db=pfam)	NA
7489	P12017	976_SemiBin_24_contig_6422262_52		rank: D;Dehydrogenase E1 component [PF00676.25];Transketolase, thiamine diphosphate binding domain [PF00456.26] (db=pfam)	NA
7490	P12018	976_SemiBin_24_contig_6422262_59		rank: C;ribonuclease J [EC:3.1.-.-] (db=kegg)	K12574
7491	P12020	976_SemiBin_24_contig_6422262_74		rank: D;Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.26];Thiamine pyrophosphate enzyme, N-terminal TPP binding domain [PF02776.23];Thiamine pyrophosphate enzyme, central domain [PF00205.27] (db=pfam)	NA
7492	P12021	976_SemiBin_24_contig_6422262_79		rank: C;dTDP-glucose 4,6-dehydratase [EC:4.2.1.46] (db=kegg)	K01710
7493	P12022	976_SemiBin_24_contig_6422262_8		rank: C;UDP-galactopyranose mutase [EC:5.4.99.9] (db=kegg)	K01854
7494	P12023	976_SemiBin_24_contig_6422262_80		rank: D;dTDP-4-dehydrorhamnose 3,5-epimerase [PF00908.22] (db=pfam)	NA
7495	P12024	976_SemiBin_24_contig_6422262_81		rank: C;glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24] (db=kegg)	K00973
7496	P12025	976_SemiBin_24_contig_6422262_82		rank: C;GTP cyclohydrolase I [EC:3.5.4.16] (db=kegg)	K22391
7497	P12026	976_SemiBin_24_contig_6422262_87		rank: C;adenine phosphoribosyltransferase [EC:2.4.2.7] (db=kegg)	K00759
7498	P12027	976_SemiBin_24_contig_6422262_88		rank: C;choloylglycine hydrolase [EC:3.5.1.24] (db=kegg)	K01442
7499	P12028	976_SemiBin_24_contig_6422263_1		rank: C;aspartate--ammonia ligase [EC:6.3.1.1] (db=kegg)	K01914
7500	P12029	976_SemiBin_24_contig_6422263_22		rank: C;starvation-inducible DNA-binding protein (db=kegg)	K04047
7501	P12030	976_SemiBin_24_contig_6422263_24		rank: C;glucokinase [EC:2.7.1.2] (db=kegg)	K25026
7502	P12031	976_SemiBin_24_contig_6422263_27	MEGAHIT-MetaBAT2-S983.51_contig_6227317_9	rank: C;GTP-binding protein (db=kegg)	K06207
7503	P12032	976_SemiBin_24_contig_6422263_29		rank: C;UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9] (db=kegg)	K01925
7504	P12034	976_SemiBin_24_contig_6422263_37		rank: C;cell division protein FtsA (db=kegg)	K03590
7505	P12035	976_SemiBin_24_contig_6422263_38		rank: C;cell division protein FtsZ (db=kegg)	K03531
7506	P12036	976_SemiBin_24_contig_6422263_40		rank: C;cell division inhibitor SepF (db=kegg)	K09772
7507	P12037	976_SemiBin_24_contig_6422263_43		rank: C;cell division initiation protein (db=kegg)	K04074
7508	P12038	976_SemiBin_24_contig_6422263_44		rank: C;isoleucyl-tRNA synthetase [EC:6.1.1.5] (db=kegg)	K01870
7509	P12039	976_SemiBin_24_contig_6422263_45		rank: D;Domain of unknown function (DUF1827) [PF08860.15] (db=pfam)	NA
7510	P12040	976_SemiBin_24_contig_6422263_47		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpE (db=kegg)	K03697
7511	P12042	976_SemiBin_24_contig_6422263_51		rank: C;polar amino acid transport system ATP-binding protein [EC:7.4.2.1] (db=kegg)	K02028
7512	P12044	976_SemiBin_24_contig_6422263_60		rank: C;23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227] (db=kegg)	K06442
7513	P12047	976_SemiBin_24_contig_6422263_63		rank: C;fatty acid kinase fatty acid binding subunit (db=kegg)	K25232
7514	P12048	976_SemiBin_24_contig_6422263_66		rank: C;DNA-binding protein HU-beta (db=kegg)	K03530
7515	P12049	976_SemiBin_24_contig_6422263_68		rank: E	NA
7516	P12050	976_SemiBin_24_contig_6422263_74		rank: C;dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1] (db=kegg)	K00226
7517	P12051	976_SemiBin_24_contig_6422263_77		rank: C;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] (db=kegg)	K01834
7518	P12052	976_SemiBin_24_contig_6422263_8		rank: C;23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192] (db=kegg)	K06941
7519	P12053	976_SemiBin_24_contig_6422263_82		rank: C;D-alanine-D-alanine ligase [EC:6.3.2.4] (db=kegg)	K01921
7520	P12055	976_SemiBin_24_contig_6422264_12		rank: C;16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182] (db=kegg)	K02528
7521	P12056	976_SemiBin_24_contig_6422264_2		rank: D;Domain of unknown function (DUF4649) [PF15507.11] (db=pfam)	NA
7522	P12057	976_SemiBin_24_contig_6422264_3		rank: C;aldose 1-epimerase [EC:5.1.3.3] (db=kegg)	K01785
7523	P12058	976_SemiBin_24_contig_6422264_4		rank: C;leucyl-tRNA synthetase [EC:6.1.1.4] (db=kegg)	K01869
7524	P12059	976_SemiBin_24_contig_6422264_6		rank: C;transcription termination/antitermination protein NusG (db=kegg)	K02601
7525	P12060	976_SemiBin_24_contig_6422265_3		rank: D;Protein of unknown function (DUF3042) [PF11240.13] (db=pfam)	NA
7526	P12061	976_SemiBin_24_contig_6422266_1		rank: C;lysyl-tRNA synthetase, class II [EC:6.1.1.6] (db=kegg)	K04567
7527	P12062	976_SemiBin_24_contig_6422266_10		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
7528	P12063	976_SemiBin_24_contig_6422266_12		rank: C;serine/alanine adding enzyme [EC:2.3.2.10] (db=kegg)	K05363
7529	P12064	976_SemiBin_24_contig_6422266_13		rank: C;5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104] (db=kegg)	K21064
7530	P12065	976_SemiBin_24_contig_6422266_16		rank: C;P-type Ca2+ transporter type 2C [EC:7.2.2.10] (db=kegg)	K01537
7531	P12066	976_SemiBin_24_contig_6422266_18		rank: C;cell division transport system ATP-binding protein (db=kegg)	K09812
7532	P12067	976_SemiBin_24_contig_6422266_19		rank: C;cell division transport system permease protein (db=kegg)	K09811
7533	P12068	976_SemiBin_24_contig_6422266_2		rank: C;putative hydrolase of the HAD superfamily (db=kegg)	K07025
7534	P12069	976_SemiBin_24_contig_6422266_23		rank: C;asparagine---oxo-acid transaminase [EC:2.6.1.14] (db=kegg)	K22457
7535	P12070	976_SemiBin_24_contig_6422266_24		rank: C;asparaginyl-tRNA synthetase [EC:6.1.1.22] (db=kegg)	K01893
7536	P12071	976_SemiBin_24_contig_6422266_25		rank: C;2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10] (db=kegg)	K09022
7537	P12072	976_SemiBin_24_contig_6422266_30		rank: C;RNase adapter protein RapZ (db=kegg)	K06958
7538	P12073	976_SemiBin_24_contig_6422266_33		rank: C;dipeptidase [EC:3.4.-.-] (db=kegg)	K08659
7539	P12074	976_SemiBin_24_contig_6422266_35		rank: C;large subunit ribosomal protein L31 (db=kegg)	K02909
7540	P12075	976_SemiBin_24_contig_6422266_36		rank: C;bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3] (db=kegg)	K06881
7541	P12076	976_SemiBin_24_contig_6422266_43		rank: D;Flavodoxin [PF00258.30];Flavodoxin domain [PF12724.12];NrdI Flavodoxin like [PF07972.16];Flavodoxin domain [PF12641.12] (db=pfam)	NA
7542	P12077	976_SemiBin_24_contig_6422266_46		rank: C;large subunit ribosomal protein L19 (db=kegg)	K02884
7543	P12078	976_SemiBin_24_contig_6422266_49		rank: C;DNA gyrase subunit B [EC:5.6.2.2] (db=kegg)	K02470
7544	P12079	976_SemiBin_24_contig_6422266_50		rank: C;septation ring formation regulator (db=kegg)	K06286
7545	P12081	976_SemiBin_24_contig_6422266_6		rank: C;oligoendopeptidase F [EC:3.4.24.-] (db=kegg)	K08602
7546	P12082	976_SemiBin_24_contig_6422266_66		rank: C;enolase 1/2/3 [EC:4.2.1.11] (db=kegg)	K01689
7547	P12083	976_SemiBin_24_contig_6422266_7		rank: C;phosphoenolpyruvate carboxylase [EC:4.1.1.31] (db=kegg)	K01595
7548	P12084	976_SemiBin_24_contig_6422266_9		rank: C;elongation factor Tu (db=kegg)	K02358
7549	P12086	976_SemiBin_24_contig_6422267_10		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
7550	P12087	976_SemiBin_24_contig_6422267_11		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
7551	P12088	976_SemiBin_24_contig_6422267_2		rank: C;ribulose-phosphate 3-epimerase [EC:5.1.3.1] (db=kegg)	K01783
7552	P12090	976_SemiBin_24_contig_6422267_5		rank: C;3'-5' exoribonuclease [EC:3.1.-.-] (db=kegg)	K03698
7553	P12091	976_SemiBin_24_contig_6422267_6		rank: C;HTH-type transcriptional regulator, purine operon repressor (db=kegg)	K09685
7554	P12092	976_SemiBin_24_contig_6422267_7		rank: C;small subunit ribosomal protein S12 (db=kegg)	K02950
7555	P12093	976_SemiBin_24_contig_6422267_8		rank: C;small subunit ribosomal protein S7 (db=kegg)	K02992
7556	P12094	976_SemiBin_24_contig_6422267_9		rank: C;elongation factor G (db=kegg)	K02355
7557	P12095	976_SemiBin_24_contig_6422268_3		rank: C;1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] (db=kegg)	K00655
7558	P12096	976_SemiBin_24_contig_6422268_7		rank: C;superoxide dismutase, Fe-Mn family [EC:1.15.1.1] (db=kegg)	K04564
7559	P12097	976_SemiBin_24_contig_6422269_1		rank: C;ribosome hibernation promoting factor (db=kegg)	K05808
7560	P12098	976_SemiBin_24_contig_6422269_6		rank: C;cysteine synthase [EC:2.5.1.47] (db=kegg)	K01738
7561	P12099	976_SemiBin_24_contig_6422269_8		rank: C;peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8] (db=kegg)	K03768
7562	P12100	976_SemiBin_24_contig_6422270_2		rank: C;pyruvate kinase [EC:2.7.1.40] (db=kegg)	K00873
7563	P12101	976_SemiBin_24_contig_6422270_3		rank: C;6-phosphofructokinase 1 [EC:2.7.1.11] (db=kegg)	K00850
7564	P12103	976_SemiBin_24_contig_6422271_20		rank: C;valyl-tRNA synthetase [EC:6.1.1.9] (db=kegg)	K01873
7565	P12105	976_SemiBin_24_contig_6422272_1		rank: D;Dihydrouridine synthase (Dus) [PF01207.22] (db=pfam)	NA
7566	P12106	976_SemiBin_24_contig_6422272_10		rank: C;putative endopeptidase [EC:3.4.24.-] (db=kegg)	K07386
7567	P12107	976_SemiBin_24_contig_6422272_11		rank: D;Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27];Homoserine dehydrogenase, NAD binding domain [PF03447.21];GFO/IDH/MocA C-terminal domain [PF22725.1];Shikimate / quinate 5-dehydrogenase [PF01488.25] (db=pfam)	NA
7568	P12108	976_SemiBin_24_contig_6422272_15		rank: C;ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6] (db=kegg)	K21636
7569	P12110	976_SemiBin_24_contig_6422272_2		rank: D;AAA domain (Cdc48 subfamily) [PF07724.19];C-terminal, D2-small domain, of ClpB protein [PF10431.14];AAA lid domain [PF17871.6];AAA domain (dynein-related subfamily) [PF07728.19];Sigma-54 interaction domain [PF00158.31];ATPase family associated with various cellular activities (AAA) [PF00004.34];Torsin [PF06309.16] (db=pfam)	NA
7570	P12111	976_SemiBin_24_contig_6422272_21		rank: C;recombination protein RecA (db=kegg)	K03553
7571	P12112	976_SemiBin_24_contig_6422272_22		rank: C;nicotinamide-nucleotide amidase [EC:3.5.1.42] (db=kegg)	K03743
7572	P12113	976_SemiBin_24_contig_6422272_25		rank: C;DNA mismatch repair protein MutS (db=kegg)	K03555
7573	P12114	976_SemiBin_24_contig_6422272_28		rank: C;arginyl-tRNA synthetase [EC:6.1.1.19] (db=kegg)	K01887
7574	P12115	976_SemiBin_24_contig_6422272_32		rank: C;aspartyl-tRNA synthetase [EC:6.1.1.12] (db=kegg)	K01876
7575	P12116	976_SemiBin_24_contig_6422272_33		rank: C;histidyl-tRNA synthetase [EC:6.1.1.21] (db=kegg)	K01892
7576	P12117	976_SemiBin_24_contig_6422272_34		rank: C;large subunit ribosomal protein L32 (db=kegg)	K02911
7577	P12118	976_SemiBin_24_contig_6422272_35	MEGAHIT-MetaBAT2-S983.51_contig_6227271_7	rank: C;large subunit ribosomal protein L33 (db=kegg)	K02913
7578	P12119	976_SemiBin_24_contig_6422272_5		rank: C;elongation factor Ts (db=kegg)	K02357
7579	P12120	976_SemiBin_24_contig_6422272_6		rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
7580	P12121	976_SemiBin_24_contig_6422273_2		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
7581	P12122	976_SemiBin_24_contig_6422273_20		rank: C;ATP-binding cassette, subfamily B, multidrug efflux pump (db=kegg)	K18888
7582	P12125	976_SemiBin_24_contig_6422273_24		rank: C;4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8] (db=kegg)	K00215
7583	P12127	976_SemiBin_24_contig_6422273_26		rank: D;Protein of unknown function (DUF1149) [PF06619.16] (db=pfam)	NA
7584	P12128	976_SemiBin_24_contig_6422273_35		rank: C;fructose PTS system EIIBC or EIIC component [EC:2.7.1.202] (db=kegg)	K02770
7585	P12129	976_SemiBin_24_contig_6422273_36		rank: C;1-phosphofructokinase [EC:2.7.1.56] (db=kegg)	K00882
7586	P12130	976_SemiBin_24_contig_6422273_40	MEGAHIT-MetaBAT2-S983.51_contig_6227265_13	rank: C;16S rRNA processing protein RimM (db=kegg)	K02860
7587	P12131	976_SemiBin_24_contig_6422273_42		rank: C;small subunit ribosomal protein S16 (db=kegg)	K02959
7588	P12132	976_SemiBin_24_contig_6422274_2		rank: D;Pyridine nucleotide-disulphide oxidoreductase [PF07992.19];Pyridine nucleotide-disulphide oxidoreductase [PF00070.32];Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain [PF02852.27];Flavin-binding monooxygenase-like [PF00743.24];Pyridine nucleotide-disulphide oxidoreductase [PF13738.11] (db=pfam)	NA
7589	P12133	976_SemiBin_24_contig_6422274_3		rank: C;L-lactate dehydrogenase [EC:1.1.1.27] (db=kegg)	K00016
7590	P12134	976_SemiBin_24_contig_6422274_4		rank: C;DNA gyrase subunit A [EC:5.6.2.2] (db=kegg)	K02469
7591	P12135	976_SemiBin_24_contig_6422275_11		rank: C;3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (db=kegg)	K00059
7592	P12136	976_SemiBin_24_contig_6422275_12		rank: C;3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179] (db=kegg)	K09458
7593	P12137	976_SemiBin_24_contig_6422275_14		rank: C;3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59] (db=kegg)	K02372
7594	P12140	976_SemiBin_24_contig_6422275_18		rank: C;seryl-tRNA synthetase [EC:6.1.1.11] (db=kegg)	K01875
7595	P12141	976_SemiBin_24_contig_6422275_2		rank: D;Amino acid kinase family [PF00696.33];ACT domain [PF22468.1] (db=pfam)	NA
7596	P12142	976_SemiBin_24_contig_6422275_20		rank: C;mannose PTS system EIID component (db=kegg)	K02796
7597	P12143	976_SemiBin_24_contig_6422275_21		rank: C;mannose PTS system EIIC component (db=kegg)	K02795
7598	P12144	976_SemiBin_24_contig_6422275_22		rank: C;mannose PTS system EIIAB component [EC:2.7.1.191] (db=kegg)	K02794
7599	P12145	976_SemiBin_24_contig_6422275_8		rank: C;acyl carrier protein (db=kegg)	K02078
7600	P12146	976_SemiBin_24_contig_6422275_9		rank: C;enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9] (db=kegg)	K02371
7601	P12148	976_SemiBin_36_contig_3814043_21		rank: C;small subunit ribosomal protein S1 (db=kegg)	K02945
7602	P12149	976_SemiBin_36_contig_3814043_24	group3_bins.185_contig_6264632_10	rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
7603	P12150	976_SemiBin_36_contig_3814043_25		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
7604	P12153	976_SemiBin_36_contig_3814043_9		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)	NA
7605	P12154	976_SemiBin_36_contig_3814046_16		rank: C;rubrerythrin (db=kegg)	K19824
7606	P12155	976_SemiBin_36_contig_3814047_24		rank: C;oligopeptide transport system ATP-binding protein (db=kegg)	K15583
7607	P12156	976_SemiBin_36_contig_3814047_27		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)	NA
7608	P12157	976_SemiBin_36_contig_3814047_32		rank: D;Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain [PF00185.29];Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain [PF02729.26] (db=pfam)	NA
7609	P12159	976_SemiBin_36_contig_3814047_36		rank: C;putative selenate reductase [EC:1.97.1.9] (db=kegg)	K12527
7610	P12161	976_SemiBin_36_contig_3814053_10		rank: D;ATP synthase subunit C [PF00137.26] (db=pfam)	NA
7611	P12162	976_SemiBin_36_contig_3814053_23		rank: C;3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392] (db=kegg)	K22605
7612	P12169	976_SemiBin_36_contig_3814056_24	group3_bins.185_contig_6264678_1	rank: C;small subunit ribosomal protein S10 (db=kegg)	K02946
7613	P12171	976_SemiBin_36_contig_3814056_26		rank: C;large subunit ribosomal protein L4 (db=kegg)	K02926
7614	P12172	976_SemiBin_36_contig_3814056_27		rank: C;large subunit ribosomal protein L23 (db=kegg)	K02892
7615	P12173	976_SemiBin_36_contig_3814056_28		rank: C;large subunit ribosomal protein L2 (db=kegg)	K02886
7616	P12174	976_SemiBin_36_contig_3814056_29	MEGAHIT-MetaBAT2-S973.217_contig_973627_5, group3_bins.185_contig_6264699_6	rank: C;small subunit ribosomal protein S19 (db=kegg)	K02965
7617	P12179	976_SemiBin_36_contig_3814056_5		rank: C;phosphoserine aminotransferase [EC:2.6.1.52] (db=kegg)	K00831
7618	P12181	976_SemiBin_36_contig_3814056_54		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)	K03040
7619	P12182	976_SemiBin_36_contig_3814056_6		rank: C;D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399] (db=kegg)	K00058
7620	P12183	976_SemiBin_36_contig_3814056_7	group3_bins.185_contig_6264722_1	rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
7621	P12185	976_SemiBin_36_contig_3814057_11		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)	NA
7622	P12189	976_SemiBin_36_contig_3814058_13		rank: C;electron transfer flavoprotein beta subunit (db=kegg)	K03521
7623	P12192	976_SemiBin_36_contig_3814058_6		rank: C;L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11] (db=kegg)	K18012
7624	P12193	976_SemiBin_36_contig_3814058_7		rank: C;lysine 2,3-aminomutase [EC:5.4.3.2] (db=kegg)	K01843
7625	P12197	976_SemiBin_36_contig_3814061_20		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
7626	P12199	976_SemiBin_36_contig_3814063_160		rank: C;NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3] (db=kegg)	K18332
7627	P12200	976_SemiBin_36_contig_3814063_27		rank: C;2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] (db=kegg)	K00174
7628	P12203	976_SemiBin_36_contig_3814063_65		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
7629	P12208	976_SemiBin_36_contig_3814065_31		rank: D;SPFH domain-Band 7 family [PF13421.11];Double zinc ribbon [PF12773.12];zinc-ribbon domain [PF13240.11];zinc-ribbon domain [PF13248.11] (db=pfam)	NA
7630	P12209	976_SemiBin_36_contig_3814065_9		rank: D;Aminotransferase class I and II [PF00155.26];Beta-eliminating lyase [PF01212.26];Cys/Met metabolism PLP-dependent enzyme [PF01053.25] (db=pfam)	NA
7631	P12211	976_SemiBin_36_contig_3814068_3		rank: C;phosphonate transport system substrate-binding protein (db=kegg)	K02044
7632	P12214	976_SemiBin_36_contig_3814073_11		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)	K01610
7633	P12215	976_SemiBin_36_contig_3814074_1		rank: E	NA
7634	P12216	976_SemiBin_36_contig_3814074_16		rank: C;preprotein translocase subunit YajC (db=kegg)	K03210
7635	P12219	976_SemiBin_36_contig_3814076_14	MEGAHIT-MetaBAT2-S945.11_contig_1072180_3	rank: C;glycine/sarcosine/betaine reductase complex component C subunit beta [EC:1.21.4.2 1.21.4.3 1.21.4.4] (db=kegg)	K21577
7636	P12220	976_SemiBin_36_contig_3814076_15	MEGAHIT-MetaBAT2-S945.11_contig_1072180_2, MEGAHIT-MetaBAT2-S945.11_contig_1072386_1	rank: C;glycine/sarcosine/betaine reductase complex component C subunit alpha [EC:1.21.4.2 1.21.4.3 1.21.4.4] (db=kegg)	K21576
7637	P12222	976_SemiBin_36_contig_3814076_8		rank: C;glycine reductase complex component B subunit gamma [EC:1.21.4.2] (db=kegg)	K10672
7638	P12223	976_SemiBin_36_contig_3814076_9	MEGAHIT-MetaBAT2-S945.11_contig_1072180_8	rank: E	NA
7639	P12224	976_SemiBin_36_contig_3814077_17		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)	K03737
7640	P12227	976_SemiBin_36_contig_3814080_5		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
7641	P12232	976_SemiBin_36_contig_3814083_21	group3_bins.185_contig_6264739_3	rank: C;glycyl-tRNA synthetase [EC:6.1.1.14] (db=kegg)	K01880
7642	P12236	976_SemiBin_36_contig_3814084_12		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
7643	P12237	976_SemiBin_36_contig_3814084_21		rank: C;acetyl-CoA C-acetyltransferase [EC:2.3.1.9] (db=kegg)	K00626
7644	P12238	976_SemiBin_36_contig_3814084_24		rank: C;cell division protease FtsH [EC:3.4.24.-] (db=kegg)	K03798
7645	P12242	976_SemiBin_36_contig_3814089_15		rank: D;Flotillin-like protein FloA [PF12127.13] (db=pfam)	NA
7646	P12244	976_SemiBin_36_contig_3814089_39	MEGAHIT-MetaBAT2-S953.47_contig_3875551_5, MEGAHIT-MetaBAT2-S973.204_contig_4943460_6, group3_bins.185_contig_6264767_7, group6_bins.237_contig_5427457_9	rank: C;large subunit ribosomal protein L27 (db=kegg)	K02899
