Protein	gene	Indistinguishable.Proteins	Description	ko_id
196	P13431	983_SemiBin_276_contig_3957064_51		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpX (db=kegg)	K03544
197	P13526	983_SemiBin_276_contig_3957087_1		rank: C;fructoselysine-6-phosphate deglycase (db=kegg)	K19510
198	P13583	983_SemiBin_276_contig_3957098_35		rank: C;thiazole synthase [EC:2.8.1.10] (db=kegg)	K03149
199	P13654	983_SemiBin_276_contig_3957118_15		rank: C;small subunit ribosomal protein S18 (db=kegg)	K02963
200	P13692	983_SemiBin_309_contig_1221201_5		rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)	K00266
201	P13773	983_SemiBin_309_contig_1221239_87		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)	K02935
202	P13830	983_SemiBin_75_contig_6647905_8		rank: C;gluconate:H+ symporter, GntP family (db=kegg)	K03299
203	P13854	983_SemiBin_75_contig_6647931_6	993_SemiBin_156_contig_1760518_50	rank: C;isocitrate dehydrogenase [EC:1.1.1.42] (db=kegg)	K00031
204	P13881	983_SemiBin_75_contig_6647963_11	993_SemiBin_156_contig_1760629_31	rank: D;GGGtGRT protein [PF14057.11] (db=pfam)	NA
205	P13904	983_SemiBin_75_contig_6647994_21	993_SemiBin_156_contig_1760618_26, MEGAHIT-MetaBAT2-S937.157_contig_4521672_5	rank: C;large subunit ribosomal protein L14 (db=kegg)	K02874
206	P13933	983_SemiBin_75_contig_6648040_2	993_SemiBin_156_contig_1760518_38, MEGAHIT-MetaBAT2-S957.114_contig_3372959_3, MEGAHIT-MetaBAT2-S974.91_contig_4023896_10	rank: C;large subunit ribosomal protein L20 (db=kegg)	K02887
207	P13937	983_SemiBin_75_contig_6648041_34	993_SemiBin_156_contig_1760520_37	rank: C;elongation factor Ts (db=kegg)	K02357
208	P14015	985_SemiBin_129_contig_7036532_38	992_SemiBin_233_contig_1712878_65, MEGAHIT-MetaBAT2-S948.142_contig_869936_42	rank: C;small subunit ribosomal protein S19 (db=kegg)	K02965
209	P14145	986_SemiBin_101_contig_4257366_7		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
210	P14146	986_SemiBin_101_contig_4257366_8		rank: C;large subunit ribosomal protein L11 (db=kegg)	K02867
211	P14240	986_SemiBin_101_contig_4257449_75		rank: C;branched-chain amino acid aminotransferase [EC:2.6.1.42] (db=kegg)	K00826
212	P14321	986_SemiBin_166_contig_1142811_33		rank: C;elongation factor Tu (db=kegg)	K02358
213	P14350	986_SemiBin_166_contig_1142843_29		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
214	P14426	987_SemiBin_26_contig_1253934_32		rank: C;maltose transport system substrate-binding protein (db=kegg)	K25086
215	P14433	987_SemiBin_26_contig_1253944_1		rank: D;Iron-containing alcohol dehydrogenase [PF00465.24];Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)	NA
216	P14440	987_SemiBin_26_contig_1253955_35		rank: C;large subunit ribosomal protein L4 (db=kegg)	K02926
217	P14443	987_SemiBin_26_contig_1253964_28		rank: C;tungstate transport system substrate-binding protein (db=kegg)	K05772
218	P14495	988_SemiBin_105_contig_5494474_6		rank: D;Coenzyme A transferase [PF01144.28] (db=pfam)	NA
219	P14516	988_SemiBin_105_contig_5494490_10	MEGAHIT-MetaBAT2-S962.187_contig_2556331_7	rank: D;Toxic anion resistance protein (TelA) [PF05816.16] (db=pfam)	NA
220	P14540	988_SemiBin_105_contig_5494532_6	group3_bins.288_contig_4842556_2	rank: C;uncharacterized protein (db=kegg)	K07137
221	P14561	988_SemiBin_31_contig_1970433_8	MEGAHIT-MetaBAT2-S947.59_contig_90679_3	rank: C;elongation factor Tu (db=kegg)	K02358
222	P14571	988_SemiBin_31_contig_1970464_15		rank: D;Carboxypeptidase regulatory-like domain [PF13620.11];CarboxypepD_reg-like domain [PF13715.11] (db=pfam)	NA
223	P14594	988_SemiBin_31_contig_1970596_10	MEGAHIT-MetaBAT2-S947.59_contig_90359_12	rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
224	P14598	990_SemiBin_269_contig_1074082_14		rank: E	NA
225	P14856	991_SemiBin_113_contig_800951_32		rank: C;3-aminobutyryl-CoA ammonia-lyase [EC:4.3.1.14] (db=kegg)	K18014
226	P14873	991_SemiBin_113_contig_800955_13		rank: D;Secretion system C-terminal sorting domain [PF18962.5];Fibronectin type III domain [PF00041.26] (db=pfam)	NA
227	P14954	991_SemiBin_113_contig_800961_60		rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)	K03770
228	P15082	991_SemiBin_141_contig_1443070_9		rank: C;SecD/SecF fusion protein (db=kegg)	K12257
229	P15106	991_SemiBin_141_contig_1443098_10		rank: D;Protein of unknown function DUF58 [PF01882.23] (db=pfam)	NA
230	P15155	991_SemiBin_141_contig_1443131_2		rank: E	NA
231	P15193	991_SemiBin_141_contig_1443146_43		rank: C;polysaccharide biosynthesis/export protein (db=kegg)	K01991
232	P15206	991_SemiBin_141_contig_1443153_2		rank: C;dipeptidyl-peptidase 4 [EC:3.4.14.5] (db=kegg)	K01278
233	P15215	991_SemiBin_141_contig_1443156_30		rank: C;aspartate--ammonia ligase [EC:6.3.1.1] (db=kegg)	K01914
234	P15233	991_SemiBin_141_contig_1443167_39		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)	K02112
235	P15238	991_SemiBin_141_contig_1443169_10		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
236	P15239	991_SemiBin_141_contig_1443169_11		rank: E	NA
237	P15259	991_SemiBin_141_contig_1443185_21		rank: C;LemA protein (db=kegg)	K03744
238	P15263	991_SemiBin_141_contig_1443188_20		rank: C;alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)	K01872
239	P15293	991_SemiBin_49_contig_4970553_33		rank: E	NA
240	P15298	991_SemiBin_49_contig_4970563_1		rank: E	NA
241	P15308	991_SemiBin_49_contig_4970570_6	992_SemiBin_233_contig_1712856_30, group9_bins.244_contig_1379207_29	rank: C;large subunit ribosomal protein L31 (db=kegg)	K02909
242	P15319	991_SemiBin_49_contig_4970579_4		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
243	P15324	991_SemiBin_49_contig_4970580_17		rank: C;large subunit ribosomal protein L18 (db=kegg)	K02881
244	P15328	991_SemiBin_49_contig_4970580_23	992_SemiBin_233_contig_1712878_71, MEGAHIT-MetaBAT2-S948.142_contig_869936_48	rank: C;large subunit ribosomal protein L14 (db=kegg)	K02874
245	P15339	991_SemiBin_49_contig_4970590_4		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
246	P15356	991_SemiBin_49_contig_4970623_20	992_SemiBin_233_contig_1712880_25	rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
247	P15371	991_SemiBin_49_contig_4970644_7		rank: E	NA
248	P15374	991_SemiBin_49_contig_4970650_12		rank: C;uncharacterized protein (db=kegg)	K07080
249	P15378	991_SemiBin_49_contig_4970652_6		rank: E	NA
250	P15403	991_SemiBin_49_contig_4970722_13		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
251	P15408	991_SemiBin_49_contig_4970727_1		rank: E	NA
252	P15410	991_SemiBin_49_contig_4970729_6		rank: E	NA
253	P15427	991_SemiBin_80_contig_6238800_2	MEGAHIT-MetaBAT2-S932.23_contig_3462174_2	rank: C;small subunit ribosomal protein S2 (db=kegg)	K02967
254	P15447	992_SemiBin_141_contig_2220270_3		rank: C;adenosylhomocysteinase [EC:3.13.2.1] (db=kegg)	K01251
255	P15466	992_SemiBin_233_contig_1712817_5		rank: C;methyl-accepting chemotaxis protein (db=kegg)	K03406
256	P15467	992_SemiBin_233_contig_1712817_6		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)	NA
257	P15469	992_SemiBin_233_contig_1712819_4		rank: C;putative aldouronate transport system permease protein (db=kegg)	K17320
258	P15481	992_SemiBin_233_contig_1712820_82		rank: D;Serine aminopeptidase, S33 [PF12146.13];Prolyl oligopeptidase family [PF00326.26] (db=pfam)	NA
259	P15502	992_SemiBin_233_contig_1712828_2		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
260	P15511	992_SemiBin_233_contig_1712830_4		rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)	K07315
261	P15513	992_SemiBin_233_contig_1712830_6		rank: C;molecular chaperone DnaK (db=kegg)	K04043
262	P15515	992_SemiBin_233_contig_1712831_12		rank: D;Borrelia membrane protein P13 [PF05628.17] (db=pfam)	NA
263	P15521	992_SemiBin_233_contig_1712831_5		rank: C;glycogen phosphorylase [EC:2.4.1.1] (db=kegg)	K00688
264	P15524	992_SemiBin_233_contig_1712832_17		rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)	K18682
265	P15529	992_SemiBin_233_contig_1712832_4		rank: E	NA
266	P15538	992_SemiBin_233_contig_1712835_24		rank: D;Tetratricopeptide repeat-like domain [PF09976.14];Outer membrane lipoprotein [PF13525.11] (db=pfam)	NA
267	P15541	992_SemiBin_233_contig_1712839_1		rank: C;alanine or glycine:cation symporter, AGCS family (db=kegg)	K03310
268	P15554	992_SemiBin_233_contig_1712844_6		rank: D;Aminopeptidase I zinc metalloprotease (M18) [PF02127.20];M42 glutamyl aminopeptidase [PF05343.19] (db=pfam)	NA
269	P15583	992_SemiBin_233_contig_1712856_5		rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)	K07315
270	P15590	992_SemiBin_233_contig_1712861_47		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
271	P15591	992_SemiBin_233_contig_1712861_48		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
272	P15592	992_SemiBin_233_contig_1712861_49		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
273	P15604	992_SemiBin_233_contig_1712864_11		rank: C;gliding motility-associatede transport system auxiliary component (db=kegg)	K25153
274	P15626	992_SemiBin_233_contig_1712870_4		rank: C;methyl-accepting chemotaxis protein (db=kegg)	K03406
275	P15627	992_SemiBin_233_contig_1712870_8		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
276	P15628	992_SemiBin_233_contig_1712870_9		rank: E	NA
277	P15634	992_SemiBin_233_contig_1712874_9		rank: C;LemA protein (db=kegg)	K03744
278	P15650	992_SemiBin_233_contig_1712877_11	MEGAHIT-MetaBAT2-S948.142_contig_869899_11	rank: C;heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] (db=kegg)	K03388
279	P15652	992_SemiBin_233_contig_1712877_12		rank: C;F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6] (db=kegg)	K14127
280	P15654	992_SemiBin_233_contig_1712877_13	MEGAHIT-MetaBAT2-S948.142_contig_869899_14	rank: C;formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (db=kegg)	K00125
281	P15660	992_SemiBin_233_contig_1712877_16		rank: D;4Fe-4S dicluster domain [PF13187.11];4Fe-4S dicluster domain [PF12838.12];4Fe-4S dicluster domain [PF13534.11];4Fe-4S dicluster domain [PF13237.11];4Fe-4S dicluster domain [PF13183.11];4Fe-4S dicluster domain [PF14697.11];2Fe-2S iron-sulfur cluster binding domain [PF13510.11] (db=pfam)	NA
282	P15661	992_SemiBin_233_contig_1712877_17		rank: D;FAD binding domain [PF00890.29];HI0933-like protein Rossmann domain [PF03486.19];FAD dependent oxidoreductase [PF01266.29];FAD dependent oxidoreductase [PF12831.12];Glucose inhibited division protein A [PF01134.27] (db=pfam)	NA
283	P15668	992_SemiBin_233_contig_1712877_35		rank: C;starch synthase [EC:2.4.1.21] (db=kegg)	K00703
284	P15675	992_SemiBin_233_contig_1712877_49		rank: D;ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.30];C-terminal domain of V and A type ATP synthase [PF22919.1];ATP synthase alpha/beta family, beta-barrel domain [PF02874.28] (db=pfam)	NA
285	P15678	992_SemiBin_233_contig_1712877_52		rank: C;V/A-type H+/Na+-transporting ATPase subunit E (db=kegg)	K02121
286	P15683	992_SemiBin_233_contig_1712877_71		rank: C;chemotaxis protein MotA (db=kegg)	K02556
287	P15694	992_SemiBin_233_contig_1712878_13		rank: E	NA
288	P15697	992_SemiBin_233_contig_1712878_24		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)	K17318
289	P15705	992_SemiBin_233_contig_1712878_51		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
290	P15706	992_SemiBin_233_contig_1712878_52		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
291	P15707	992_SemiBin_233_contig_1712878_54		rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)	K03043
292	P15711	992_SemiBin_233_contig_1712878_61		rank: C;large subunit ribosomal protein L3 (db=kegg)	K02906
293	P15712	992_SemiBin_233_contig_1712878_62		rank: C;large subunit ribosomal protein L4 (db=kegg)	K02926
294	P15716	992_SemiBin_233_contig_1712878_67		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
295	P15719	992_SemiBin_233_contig_1712878_70		rank: C;small subunit ribosomal protein S17 (db=kegg)	K02961
296	P15723	992_SemiBin_233_contig_1712878_76		rank: C;large subunit ribosomal protein L6 (db=kegg)	K02933
297	P15725	992_SemiBin_233_contig_1712878_78		rank: C;small subunit ribosomal protein S5 (db=kegg)	K02988
298	P15727	992_SemiBin_233_contig_1712878_80		rank: C;large subunit ribosomal protein L15 (db=kegg)	K02876
299	P15728	992_SemiBin_233_contig_1712878_81		rank: C;preprotein translocase subunit SecY (db=kegg)	K03076
300	P15730	992_SemiBin_233_contig_1712878_84		rank: C;small subunit ribosomal protein S4 (db=kegg)	K02986
301	P15731	992_SemiBin_233_contig_1712878_85		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)	K03040
302	P15745	992_SemiBin_233_contig_1712880_19	MEGAHIT-MetaBAT2-S948.142_contig_869944_9	rank: C;V/A-type H+/Na+-transporting ATPase subunit K (db=kegg)	K02124
303	P15752	992_SemiBin_233_contig_1712880_42		rank: C;ATP-binding cassette, subfamily B, multidrug efflux pump (db=kegg)	K18887
304	P15753	992_SemiBin_233_contig_1712880_44		rank: C;modulator of FtsH protease HflK (db=kegg)	K04088
305	P15754	992_SemiBin_233_contig_1712880_45		rank: C;modulator of FtsH protease HflC (db=kegg)	K04087
306	P15762	992_SemiBin_233_contig_1712880_9		rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)	K01952
307	P15764	992_SemiBin_233_contig_1712882_27		rank: C;methyl-accepting chemotaxis protein (db=kegg)	K03406
308	P15771	992_SemiBin_233_contig_1712883_37		rank: C;preprotein translocase subunit YajC (db=kegg)	K03210
309	P15773	992_SemiBin_233_contig_1712883_39		rank: D;Protein export membrane protein [PF02355.21] (db=pfam)	NA
310	P15781	992_SemiBin_233_contig_1712883_9		rank: E	NA
311	P15788	992_SemiBin_233_contig_1712887_45		rank: C;long-chain acyl-CoA synthetase [EC:6.2.1.3] (db=kegg)	K01897
312	P15799	992_SemiBin_233_contig_1712887_78		rank: D;Binding-protein-dependent transport system inner membrane component [PF00528.27] (db=pfam)	NA
313	P15800	992_SemiBin_233_contig_1712887_79		rank: D;Binding-protein-dependent transport system inner membrane component [PF00528.27] (db=pfam)	NA
314	P15821	992_SemiBin_233_contig_1712893_8		rank: D;Bacterial extracellular solute-binding protein [PF13416.11];Bacterial extracellular solute-binding protein [PF13343.11] (db=pfam)	NA
315	P15830	992_SemiBin_233_contig_1712897_40		rank: C;methyl-accepting chemotaxis protein (db=kegg)	K03406
316	P15832	992_SemiBin_233_contig_1712897_7		rank: E	NA
317	P15835	992_SemiBin_233_contig_1712897_92		rank: C;alpha-2-macroglobulin (db=kegg)	K06894
318	P15839	992_SemiBin_233_contig_1712899_18		rank: C;uncharacterized protein (db=kegg)	K09807
319	P15848	992_SemiBin_233_contig_1712901_7		rank: E	NA
320	P15850	992_SemiBin_233_contig_1712902_13		rank: D;Aconitase family (aconitate hydratase) [PF00330.25];Aconitase C-terminal domain [PF00694.24] (db=pfam)	NA
321	P15851	992_SemiBin_233_contig_1712902_19		rank: C;polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] (db=kegg)	K00962
322	P15852	992_SemiBin_233_contig_1712902_25		rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)	K01923
323	P15856	992_SemiBin_233_contig_1712902_6		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	K01940
324	P15857	992_SemiBin_233_contig_1712903_10		rank: C;xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22] (db=kegg)	K01621
325	P15861	992_SemiBin_233_contig_1712904_19		rank: E	NA
326	P15868	992_SemiBin_233_contig_1712904_37		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
327	P15871	992_SemiBin_233_contig_1712904_40		rank: D;Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.12];Tetratricopeptide repeat [PF13432.11] (db=pfam)	NA
328	P15872	992_SemiBin_233_contig_1712904_41		rank: E	NA
329	P15878	992_SemiBin_233_contig_1712904_50		rank: C;small subunit ribosomal protein S16 (db=kegg)	K02959
330	P15883	992_SemiBin_233_contig_1712904_71		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)	K17318
331	P15894	992_SemiBin_233_contig_1712910_34		rank: C;adenylosuccinate synthase [EC:6.3.4.4] (db=kegg)	K01939
332	P15905	992_SemiBin_233_contig_1712911_3		rank: E	NA
333	P15958	993_SemiBin_0_contig_4100127_2		rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	NA
334	P15990	993_SemiBin_0_contig_4100150_18		rank: C;cellobiose transport system substrate-binding protein (db=kegg)	K10240
335	P15993	993_SemiBin_0_contig_4100150_23		rank: C;raffinose/stachyose/melibiose transport system substrate-binding protein (db=kegg)	K10117
336	P16013	993_SemiBin_0_contig_4100167_5		rank: C;DNA gyrase subunit A [EC:5.6.2.2] (db=kegg)	K02469
337	P16014	993_SemiBin_0_contig_4100169_9		rank: C;large subunit ribosomal protein L13 (db=kegg)	K02871
338	P16113	993_SemiBin_0_contig_4100235_13	MEGAHIT-MetaBAT2-S935.60_contig_5798644_15, MEGAHIT-MetaBAT2-S942.30_contig_4600021_3	rank: C;uncharacterized protein (db=kegg)	K06871
339	P16124	993_SemiBin_0_contig_4100238_2	MEGAHIT-MetaBAT2-S993.109_contig_3807272_10	rank: C;DNA-directed RNA polymerase subunit omega [EC:2.7.7.6] (db=kegg)	K03060
340	P16227	993_SemiBin_2_contig_3830858_3		rank: C;aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7] (db=kegg)	K02434
341	P16271	IsollateEukC-trimmed-reads.medaka_contig_1_40		rank: D;Phosphorylase superfamily [PF01048.25] (db=pfam)	NA
342	P16279	MEGAHIT-MetaBAT2-S932.114_contig_6341897_39	group10_bins.7_contig_57002_10	rank: C;elongation factor Tu (db=kegg)	K02358
343	P16302	MEGAHIT-MetaBAT2-S932.114_contig_6341919_11		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
344	P16382	MEGAHIT-MetaBAT2-S932.132_contig_1418955_12		rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)	K00074
345	P16405	MEGAHIT-MetaBAT2-S932.132_contig_1419009_3		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)	K00927
346	P16542	MEGAHIT-MetaBAT2-S932.184_contig_6159133_4	MEGAHIT-MetaBAT2-S956.103_contig_5657445_15	rank: C;murein lipoprotein (db=kegg)	K06078
347	P16569	MEGAHIT-MetaBAT2-S932.23_contig_3462305_1		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
348	P16600	MEGAHIT-MetaBAT2-S932.36_contig_1898852_14		rank: D;Transketolase, pyrimidine binding domain [PF02779.29];Transketolase, C-terminal domain [PF02780.25];Transketolase-like TK C-terminal domain [PF22613.1] (db=pfam)	NA
349	P16608	MEGAHIT-MetaBAT2-S932.36_contig_1898870_3		rank: C;D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399] (db=kegg)	K00058
350	P16826	MEGAHIT-MetaBAT2-S932.53_contig_2808253_1		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)	K03046
351	P16830	MEGAHIT-MetaBAT2-S932.53_contig_2808263_3	MEGAHIT-MetaBAT2-S938.190_contig_1791660_3	rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2] (db=kegg)	K03615
352	P16869	MEGAHIT-MetaBAT2-S932.72_contig_1470561_2		rank: C;large subunit ribosomal protein L5 (db=kegg)	K02931
353	P16898	MEGAHIT-MetaBAT2-S932.72_contig_1470636_8		rank: C;CO dehydrogenase maturation factor (db=kegg)	K07321
354	P17045	MEGAHIT-MetaBAT2-S933.133_contig_1079992_21		rank: C;lysozyme (db=kegg)	K07273
355	P17186	MEGAHIT-MetaBAT2-S933.161_contig_5760198_5		rank: C;biopolymer transport protein ExbD (db=kegg)	K03559
356	P17250	MEGAHIT-MetaBAT2-S933.161_contig_5760290_47		rank: D;Flotillin-like protein FloA [PF12127.13] (db=pfam)	NA
357	P17257	MEGAHIT-MetaBAT2-S933.161_contig_5760293_3	MEGAHIT-MetaBAT2-S941.86_contig_5776219_10, MEGAHIT-MetaBAT2-S990.131_contig_6877002_26	rank: C;small subunit ribosomal protein S17 (db=kegg)	K02961
358	P17294	MEGAHIT-MetaBAT2-S933.74_contig_4561881_1		rank: E	NA
359	P17325	MEGAHIT-MetaBAT2-S934.132_contig_5200187_6		rank: C;2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42] (db=kegg)	K01625
360	P17697	MEGAHIT-MetaBAT2-S935.60_contig_5798559_29		rank: C;transaldolase [EC:2.2.1.2] (db=kegg)	K00616
361	P17720	MEGAHIT-MetaBAT2-S935.60_contig_5798567_20		rank: D;Bacterial extracellular solute-binding protein [PF13416.11];Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	NA
362	P17723	MEGAHIT-MetaBAT2-S935.60_contig_5798568_6		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)	NA
363	P17731	MEGAHIT-MetaBAT2-S935.60_contig_5798573_115		rank: C;4-alpha-glucanotransferase [EC:2.4.1.25] (db=kegg)	K00705
364	P17751	MEGAHIT-MetaBAT2-S935.60_contig_5798573_40		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2] (db=kegg)	K03614
365	P17764	MEGAHIT-MetaBAT2-S935.60_contig_5798574_11		rank: C;small subunit ribosomal protein S13 (db=kegg)	K02952
366	P17777	MEGAHIT-MetaBAT2-S935.60_contig_5798583_5		rank: C;AMP-polyphosphate phosphotransferase [EC:2.7.4.33] (db=kegg)	K23753
367	P17794	MEGAHIT-MetaBAT2-S935.60_contig_5798590_8		rank: C;glutamate synthase (NADPH) large chain [EC:1.4.1.13] (db=kegg)	K00265
368	P17859	MEGAHIT-MetaBAT2-S935.60_contig_5798612_36		rank: C;rod shape-determining protein MreB and related proteins (db=kegg)	K03569
369	P17902	MEGAHIT-MetaBAT2-S935.60_contig_5798641_42		rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)	K18682
370	P17999	MEGAHIT-MetaBAT2-S937.157_contig_4521509_14		rank: C;cell division protease FtsH [EC:3.4.24.-] (db=kegg)	K03798
371	P18084	MEGAHIT-MetaBAT2-S937.179_contig_2343601_4		rank: E	NA
372	P18112	MEGAHIT-MetaBAT2-S937.179_contig_2343688_1		rank: C;urocanate reductase [EC:1.3.99.33] (db=kegg)	K17363
373	P18151	MEGAHIT-MetaBAT2-S937.179_contig_2343803_3		rank: C;phosphomethylpyrimidine synthase [EC:4.1.99.17] (db=kegg)	K03147
374	P18205	MEGAHIT-MetaBAT2-S937.180_contig_3990879_22		rank: C;LL-diaminopimelate aminotransferase [EC:2.6.1.83] (db=kegg)	K10206
375	P18215	MEGAHIT-MetaBAT2-S937.180_contig_3990885_2		rank: C;dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13] (db=kegg)	K01790
376	P18234	MEGAHIT-MetaBAT2-S937.180_contig_3990897_16		rank: C;SecD/SecF fusion protein (db=kegg)	K12257
377	P18279	MEGAHIT-MetaBAT2-S937.180_contig_3990929_15		rank: C;glucose-6-phosphate isomerase [EC:5.3.1.9] (db=kegg)	K01810
378	P18310	MEGAHIT-MetaBAT2-S937.180_contig_3991001_5		rank: C;phage shock protein A (db=kegg)	K03969
379	P18353	MEGAHIT-MetaBAT2-S938.116_contig_4254320_4		rank: C;cell division protein FtsZ (db=kegg)	K03531
380	P18387	MEGAHIT-MetaBAT2-S938.116_contig_4254392_4		rank: E	NA
381	P18404	MEGAHIT-MetaBAT2-S938.116_contig_4254422_5		rank: D;Fasciclin domain [PF02469.27] (db=pfam)	NA
382	P18408	MEGAHIT-MetaBAT2-S938.116_contig_4254422_9		rank: E	NA
383	P18412	MEGAHIT-MetaBAT2-S938.116_contig_4254432_5		rank: C;serine protease Do [EC:3.4.21.107] (db=kegg)	K04771
384	P18417	MEGAHIT-MetaBAT2-S938.116_contig_4254445_3		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
385	P18418	MEGAHIT-MetaBAT2-S938.116_contig_4254445_4		rank: E	NA
386	P18443	MEGAHIT-MetaBAT2-S938.116_contig_4254479_12		rank: D;TonB dependent receptor-like, beta-barrel [PF00593.29] (db=pfam)	NA
387	P18544	MEGAHIT-MetaBAT2-S938.161_contig_2666309_2		rank: C;maltose transport system substrate-binding protein (db=kegg)	K25086
388	P18608	MEGAHIT-MetaBAT2-S938.190_contig_1791369_4		rank: C;ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90] (db=kegg)	K21071
389	P18614	MEGAHIT-MetaBAT2-S938.190_contig_1791388_10		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)	K00975
390	P18660	MEGAHIT-MetaBAT2-S938.190_contig_1791459_24		rank: C;raffinose/stachyose/melibiose transport system substrate-binding protein (db=kegg)	K10117
391	P18718	MEGAHIT-MetaBAT2-S938.190_contig_1791562_10		rank: D;Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B [PF10418.14];Oxidoreductase NAD-binding domain [PF00175.26];Oxidoreductase FAD-binding domain [PF00970.29] (db=pfam)	NA
