Protein	gene	Indistinguishable.Proteins	Description	ko_id
203	P8584	965_SemiBin_146_contig_1265026_8		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
204	P8587	965_SemiBin_146_contig_1265027_5		rank: C;chemotaxis protein MotB (db=kegg)	K02557
205	P8590	965_SemiBin_146_contig_1265028_12		rank: D;Domain of unknown function (DUF5017) [PF16409.10] (db=pfam)	NA
206	P8625	965_SemiBin_146_contig_1265050_20		rank: D;Domain of unknown function (DUF5074) [PF16819.10] (db=pfam)	NA
207	P8699	965_SemiBin_146_contig_1265085_4		rank: C;bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3] (db=kegg)	K12524
208	P8706	965_SemiBin_146_contig_1265089_5		rank: C;F-type H+-transporting ATPase subunit b (db=kegg)	K02109
209	P8724	965_SemiBin_146_contig_1265098_11		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
210	P8727	965_SemiBin_146_contig_1265098_14		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)	K03046
211	P8763	965_SemiBin_146_contig_1265129_9		rank: D;NADH-ubiquinone/plastoquinone oxidoreductase chain 6 [PF00499.25] (db=pfam)	NA
212	P8765	965_SemiBin_146_contig_1265130_2		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
213	P8766	965_SemiBin_146_contig_1265130_3		rank: D;Surface glycan-binding protein B xyloglucan binding domain [PF18329.6] (db=pfam)	NA
214	P8767	965_SemiBin_146_contig_1265130_4		rank: E	NA
215	P8768	965_SemiBin_146_contig_1265130_5		rank: D;Cellulase (glycosyl hydrolase family 5) [PF00150.23] (db=pfam)	NA
216	P8782	965_SemiBin_146_contig_1265144_10		rank: C;nitrogen regulatory protein P-II 1 (db=kegg)	K04751
217	P8794	965_SemiBin_146_contig_1265147_1		rank: C;Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1] (db=kegg)	K00351
218	P8835	965_SemiBin_146_contig_1265174_1		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
219	P8842	965_SemiBin_146_contig_1265175_5		rank: C;dipeptidase D [EC:3.4.13.-] (db=kegg)	K01270
220	P8853	965_SemiBin_146_contig_1265183_32		rank: D;Domain of unknown function (DUF4925) [PF16272.10] (db=pfam)	NA
221	P8879	965_SemiBin_146_contig_1265202_2		rank: D;PKD-like family [PF16407.10];PKD-like domain [PF16820.10] (db=pfam)	NA
222	P8883	965_SemiBin_146_contig_1265203_2		rank: C;transcription termination/antitermination protein NusA (db=kegg)	K02600
223	P8902	966_SemiBin_49_contig_5227290_3		rank: C;two-component system, response regulator, stage 0 sporulation protein A (db=kegg)	K07699
224	P8948	966_SemiBin_49_contig_5227556_4		rank: C;GDPmannose 4,6-dehydratase [EC:4.2.1.47] (db=kegg)	K01711
225	P9031	966_SemiBin_69_contig_3238735_3	MEGAHIT-MetaBAT2-S953.28_contig_3746220_4	rank: C;sulfonate transport system permease protein (db=kegg)	K15554
226	P9051	966_SemiBin_69_contig_3238783_14		rank: C;small subunit ribosomal protein S4 (db=kegg)	K02986
227	P9079	966_SemiBin_91_contig_5159127_15		rank: E	NA
228	P9084	966_SemiBin_91_contig_5159128_18		rank: E	NA
229	P9118	966_SemiBin_91_contig_5159162_2		rank: D;CarboxypepD_reg-like domain [PF13715.11];TonB dependent receptor-like, beta-barrel [PF00593.29];TonB-dependent Receptor Plug Domain [PF07715.20] (db=pfam)	NA
230	P9121	966_SemiBin_91_contig_5159167_2		rank: D;Putative binding domain, N-terminal [PF13004.12] (db=pfam)	NA
231	P9141	966_SemiBin_91_contig_5159191_1		rank: D;CarboxypepD_reg-like domain [PF13715.11] (db=pfam)	NA
232	P9145	966_SemiBin_91_contig_5159197_2		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
233	P9149	966_SemiBin_91_contig_5159199_20		rank: C;biopolymer transport protein ExbB (db=kegg)	K03561
234	P9176	966_SemiBin_95_contig_3845491_52		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
235	P9189	966_SemiBin_95_contig_3845499_34		rank: E	NA
236	P9199	966_SemiBin_95_contig_3845501_33		rank: C;carboxybiotin decarboxylase [EC:7.2.4.1] (db=kegg)	K20509
237	P9249	966_SemiBin_95_contig_3845526_3		rank: E	NA
238	P9254	966_SemiBin_95_contig_3845526_7		rank: D;AMP-binding enzyme [PF00501.33] (db=pfam)	NA
239	P9256	966_SemiBin_95_contig_3845527_17		rank: C;DNA sulfur modification protein DndE (db=kegg)	K19172
240	P9259	966_SemiBin_95_contig_3845527_23		rank: D;Alpha amylase, catalytic domain [PF00128.29];Starch-binding module 26 [PF16738.10];Chitobiase/beta-hexosaminidase C-terminal domain [PF13290.11] (db=pfam)	NA
241	P9264	966_SemiBin_95_contig_3845527_31		rank: D;Gliding motility associated protein GldN [PF19841.4] (db=pfam)	NA
242	P9318	966_SemiBin_95_contig_3845568_2		rank: D;Alpha amylase, catalytic domain [PF00128.29] (db=pfam)	NA
243	P9322	967_SemiBin_89_contig_4060470_10		rank: C;phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] (db=kegg)	K01933
244	P9351	967_SemiBin_89_contig_4060488_20		rank: C;peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8] (db=kegg)	K03768
245	P9371	967_SemiBin_89_contig_4060495_4		rank: C;altronate dehydratase large subunit [EC:4.2.1.7] (db=kegg)	K16850
246	P9428	967_SemiBin_89_contig_4060564_5		rank: C;large subunit ribosomal protein L9 (db=kegg)	K02939
247	P9440	967_SemiBin_89_contig_4060569_4		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)	K02112
248	P9460	967_SemiBin_89_contig_4060584_5		rank: C;enoyl-CoA hydratase [EC:4.2.1.17] (db=kegg)	K01715
249	P9502	967_SemiBin_89_contig_4060602_4		rank: C;transcription termination/antitermination protein NusA (db=kegg)	K02600
250	P9560	967_SemiBin_89_contig_4060656_4		rank: D;Cytidylate kinase-like family [PF13189.11] (db=pfam)	NA
251	P9606	968_SemiBin_116_contig_4216104_5		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)	K03046
252	P9607	968_SemiBin_116_contig_4216104_6		rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)	K03043
253	P9670	968_SemiBin_131_contig_4413961_13		rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)	NA
254	P9679	968_SemiBin_131_contig_4413978_2		rank: C;urocanate reductase [EC:1.3.99.33] (db=kegg)	K17363
255	P9715	968_SemiBin_131_contig_4414063_6		rank: C;beta-glucosidase [EC:3.2.1.21] (db=kegg)	K05349
256	P9727	968_SemiBin_131_contig_4414070_9		rank: D;FAD binding domain [PF00890.29];FAD dependent oxidoreductase [PF01266.29] (db=pfam)	NA
257	P9757	968_SemiBin_24_contig_3038611_6		rank: E	NA
258	P9804	968_SemiBin_313_contig_7005533_189		rank: D;Iron-containing alcohol dehydrogenase [PF00465.24];Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)	NA
259	P10013	969_SemiBin_208_contig_4993893_3		rank: C;argininosuccinate lyase [EC:4.3.2.1] (db=kegg)	K01755
260	P10209	969_SemiBin_225_contig_2281529_10	group7_bins.394_contig_663727_4	rank: C;4-hydroxybutyrate dehydrogenase [EC:1.1.1.61] (db=kegg)	K18120
261	P10218	969_SemiBin_225_contig_2281570_10	MEGAHIT-MetaBAT2-S970.215_contig_2539232_6	rank: C;phenylacetate-CoA ligase [EC:6.2.1.30] (db=kegg)	K01912
262	P10308	970_SemiBin_111_contig_3275991_104		rank: E	NA
263	P10315	970_SemiBin_111_contig_3275991_15	MEGAHIT-MetaBAT2-S962.15_contig_5442072_5, MEGAHIT-MetaBAT2-S964.113_contig_1412684_23, MEGAHIT-MetaBAT2-S970.211_contig_7007125_7, MEGAHIT-MetaBAT2-S972.40_contig_3573541_6, group3_bins.183_contig_1475897_13, group8_bins.276_contig_3510806_8	rank: D;Branched-chain amino acid transport system / permease component [PF02653.21] (db=pfam)	NA
264	P10362	970_SemiBin_111_contig_3275999_3		rank: C;LemA protein (db=kegg)	K03744
265	P10400	970_SemiBin_111_contig_3276015_52		rank: D;ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.30];ATPsynthase alpha/beta subunit N-term extension [PF16886.10];ATP synthase alpha/beta family, beta-barrel domain [PF02874.28];C-terminal domain of V and A type ATP synthase [PF22919.1] (db=pfam)	NA
266	P10403	970_SemiBin_111_contig_3276015_56	MEGAHIT-MetaBAT2-S964.113_contig_1412651_13	rank: C;V/A-type H+/Na+-transporting ATPase subunit K (db=kegg)	K02124
267	P10430	970_SemiBin_149_contig_3093823_18		rank: C;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11] (db=kegg)	K01834
268	P10476	970_SemiBin_53_contig_3961020_5		rank: C;basic membrane protein A and related proteins (db=kegg)	K07335
269	P10481	970_SemiBin_53_contig_3961073_21		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
270	P10502	970_SemiBin_87_contig_5996953_3		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
271	P10504	970_SemiBin_87_contig_5997004_2		rank: D;Galactose-1-phosphate uridyl transferase, C-terminal domain [PF02744.22];Galactose-1-phosphate uridyl transferase, N-terminal domain [PF01087.27];Domain of unknown function (DUF4922) [PF16269.10] (db=pfam)	NA
272	P10506	970_SemiBin_87_contig_5997010_8	972_SemiBin_102_contig_6480001_5	rank: D;Inorganic H+ pyrophosphatase [PF03030.21] (db=pfam)	NA
273	P10514	970_SemiBin_87_contig_5997063_6		rank: C;lactose/L-arabinose transport system substrate-binding protein (db=kegg)	K10188
274	P10516	970_SemiBin_87_contig_5997090_4		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)	K00134
275	P10525	970_SemiBin_87_contig_5997217_4		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)	K01006
276	P10563	972_SemiBin_102_contig_6480161_2		rank: D;Iron only hydrogenase large subunit, C-terminal domain [PF02906.19];Iron hydrogenase small subunit [PF02256.22];Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)	NA
277	P10575	972_SemiBin_103_contig_3787311_10	MEGAHIT-MetaBAT2-S964.185_contig_75003_12	rank: C;preprotein translocase subunit YajC (db=kegg)	K03210
278	P10582	972_SemiBin_103_contig_3787334_4	MEGAHIT-MetaBAT2-S964.185_contig_74934_15	rank: C;methionyl-tRNA synthetase [EC:6.1.1.10] (db=kegg)	K01874
279	P10606	972_SemiBin_103_contig_3787488_4	MEGAHIT-MetaBAT2-S964.185_contig_74996_9	rank: C;F-type H+-transporting ATPase subunit c (db=kegg)	K02110
280	P10615	972_SemiBin_103_contig_3787528_2		rank: D;ABC transporter [PF00005.32] (db=pfam)	NA
281	P11217	973_SemiBin_47_contig_3810202_6		rank: D;Type I phosphodiesterase / nucleotide pyrophosphatase [PF01663.27];Sulfatase [PF00884.28];Metalloenzyme superfamily [PF01676.23] (db=pfam)	NA
282	P11289	973_SemiBin_47_contig_3810232_1		rank: D;Sigma 54 modulation protein / S30EA ribosomal protein [PF02482.24] (db=pfam)	NA
283	P11331	973_SemiBin_47_contig_3810247_20		rank: C;small subunit ribosomal protein S8 (db=kegg)	K02994
284	P11339	973_SemiBin_47_contig_3810247_30		rank: C;large subunit ribosomal protein L2 (db=kegg)	K02886
285	P11565	976_SemiBin_228_contig_1679523_36		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
286	P11640	976_SemiBin_24_contig_6422221_2		rank: C;alpha-amylase [EC:3.2.1.1] (db=kegg)	K01176
287	P11686	976_SemiBin_24_contig_6422224_55		rank: C;U32 family peptidase [EC:3.4.-.-] (db=kegg)	K08303
288	P11695	976_SemiBin_24_contig_6422228_11		rank: C;ribosome-binding factor A (db=kegg)	K02834
289	P11703	976_SemiBin_24_contig_6422232_4		rank: C;nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18] (db=kegg)	K00969
290	P11946	976_SemiBin_24_contig_6422254_2		rank: C;xanthine phosphoribosyltransferase [EC:2.4.2.22] (db=kegg)	K03816
291	P12135	976_SemiBin_24_contig_6422275_11		rank: C;3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (db=kegg)	K00059
292	P12154	976_SemiBin_36_contig_3814046_16		rank: C;rubrerythrin (db=kegg)	K19824
293	P12181	976_SemiBin_36_contig_3814056_54		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)	K03040
294	P12285	978_SemiBin_64_contig_4662566_3		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)	K04077
295	P12305	981_SemiBin_196_contig_5051772_30		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
296	P12315	981_SemiBin_196_contig_5051779_82		rank: E	NA
297	P12322	981_SemiBin_196_contig_5051782_44		rank: D;Tetratricopeptide repeat-like domain [PF09976.14] (db=pfam)	NA
298	P12328	981_SemiBin_196_contig_5051784_49		rank: E	NA
299	P12351	981_SemiBin_196_contig_5051789_149		rank: C;modulator of FtsH protease HflK (db=kegg)	K04088
300	P12354	981_SemiBin_196_contig_5051789_58		rank: C;large subunit ribosomal protein L1 (db=kegg)	K02863
301	P12363	981_SemiBin_196_contig_5051789_75		rank: C;small subunit ribosomal protein S3 (db=kegg)	K02982
302	P12383	981_SemiBin_196_contig_5051802_10		rank: D;Protein export membrane protein [PF02355.21] (db=pfam)	NA
303	P12393	981_SemiBin_196_contig_5051807_55		rank: C;putative tryptophan/tyrosine transport system substrate-binding protein (db=kegg)	K01989
304	P12396	981_SemiBin_196_contig_5051807_97		rank: D;PPIC-type PPIASE domain [PF00639.26] (db=pfam)	NA
305	P12502	981_SemiBin_432_contig_5057951_32		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)	K02112
306	P12705	983_SemiBin_133_contig_1182607_12		rank: E	NA
307	P12793	983_SemiBin_140_contig_943767_3		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
308	P12828	983_SemiBin_140_contig_943807_45		rank: C;enoyl-CoA hydratase [EC:4.2.1.17] (db=kegg)	K01715
309	P12883	983_SemiBin_140_contig_943878_19		rank: C;small subunit ribosomal protein S5 (db=kegg)	K02988
310	P12929	983_SemiBin_151_contig_1974770_8		rank: C;fructose PTS system EIIBC or EIIC component [EC:2.7.1.202] (db=kegg)	K02770
311	P12933	983_SemiBin_151_contig_1974772_103		rank: C;preprotein translocase subunit YajC (db=kegg)	K03210
312	P12958	983_SemiBin_151_contig_1974773_1		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)	K03695
313	P12988	983_SemiBin_151_contig_1974778_8		rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)	K01952
314	P12992	983_SemiBin_151_contig_1974779_29		rank: C;carbamate kinase [EC:2.7.2.2] (db=kegg)	K00926
315	P13016	983_SemiBin_151_contig_1974780_17		rank: C;urocanate reductase [EC:1.3.99.33] (db=kegg)	K17363
316	P13045	983_SemiBin_151_contig_1974791_13		rank: C;O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49] (db=kegg)	K01740
317	P13053	983_SemiBin_151_contig_1974792_113		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)	K01784
318	P13063	983_SemiBin_151_contig_1974792_137		rank: C;small subunit ribosomal protein S1 (db=kegg)	K02945
319	P13070	983_SemiBin_151_contig_1974792_38		rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)	K00266
320	P13079	983_SemiBin_151_contig_1974792_97		rank: D;Polymer-forming cytoskeletal [PF04519.18] (db=pfam)	NA
321	P13104	983_SemiBin_151_contig_1974798_11		rank: C;methyl-accepting chemotaxis protein (db=kegg)	K03406
322	P13124	983_SemiBin_151_contig_1974804_21		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)	K01915
323	P13152	983_SemiBin_151_contig_1974809_59		rank: C;large subunit ribosomal protein L19 (db=kegg)	K02884
324	P13157	983_SemiBin_151_contig_1974809_81		rank: C;phage shock protein A (db=kegg)	K03969
325	P13172	983_SemiBin_151_contig_1974810_67		rank: C;phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20] (db=kegg)	K01890
326	P13188	983_SemiBin_151_contig_1974811_26		rank: C;small subunit ribosomal protein S13 (db=kegg)	K02952
327	P13189	983_SemiBin_151_contig_1974811_28		rank: C;small subunit ribosomal protein S4 (db=kegg)	K02986
328	P13192	983_SemiBin_151_contig_1974811_30		rank: C;large subunit ribosomal protein L17 (db=kegg)	K02879
329	P13200	983_SemiBin_151_contig_1974811_8		rank: C;large subunit ribosomal protein L22 (db=kegg)	K02890
330	P13240	983_SemiBin_151_contig_1974825_9		rank: C;large subunit ribosomal protein L10 (db=kegg)	K02864
331	P13289	983_SemiBin_265_contig_1939076_5		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
332	P13373	983_SemiBin_276_contig_3957053_13		rank: C;D-methionine transport system ATP-binding protein (db=kegg)	K02071
333	P13431	983_SemiBin_276_contig_3957064_51		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpX (db=kegg)	K03544
334	P13450	983_SemiBin_276_contig_3957071_149		rank: C;phosphoglucomutase [EC:5.4.2.2] (db=kegg)	K01835
335	P13573	983_SemiBin_276_contig_3957097_20		rank: C;UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8] (db=kegg)	K01924
336	P13692	983_SemiBin_309_contig_1221201_5		rank: C;glutamate synthase (NADPH) small chain [EC:1.4.1.13] (db=kegg)	K00266
337	P13830	983_SemiBin_75_contig_6647905_8		rank: C;gluconate:H+ symporter, GntP family (db=kegg)	K03299
338	P13854	983_SemiBin_75_contig_6647931_6	993_SemiBin_156_contig_1760518_50	rank: C;isocitrate dehydrogenase [EC:1.1.1.42] (db=kegg)	K00031
339	P13900	983_SemiBin_75_contig_6647994_17	993_SemiBin_156_contig_1760618_22	rank: C;small subunit ribosomal protein S8 (db=kegg)	K02994
340	P13956	984_SemiBin_54_contig_5607584_41	MEGAHIT-MetaBAT2-S970.211_contig_7007127_5	rank: C;small subunit ribosomal protein S8 (db=kegg)	K02994
341	P13984	985_SemiBin_129_contig_7036523_58		rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)	K10546
342	P14015	985_SemiBin_129_contig_7036532_38	992_SemiBin_233_contig_1712878_65, MEGAHIT-MetaBAT2-S948.142_contig_869936_42	rank: C;small subunit ribosomal protein S19 (db=kegg)	K02965
343	P14030	985_SemiBin_129_contig_7036538_45	group9_bins.244_contig_1379185_11	rank: C;F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6] (db=kegg)	K14127
344	P14146	986_SemiBin_101_contig_4257366_8		rank: C;large subunit ribosomal protein L11 (db=kegg)	K02867
345	P14253	986_SemiBin_101_contig_4257457_2	MEGAHIT-MetaBAT2-S935.60_contig_5798586_7, MEGAHIT-MetaBAT2-S993.109_contig_3807208_11	rank: C;transcription termination/antitermination protein NusG (db=kegg)	K02601
346	P14308	986_SemiBin_166_contig_1142799_10		rank: C;alpha-glucoside PTS system EIICB component [EC:2.7.1.208 2.7.1.-] (db=kegg)	K02750
347	P14433	987_SemiBin_26_contig_1253944_1		rank: D;Iron-containing alcohol dehydrogenase [PF00465.24];Iron-containing alcohol dehydrogenase [PF13685.11] (db=pfam)	NA
348	P14441	987_SemiBin_26_contig_1253955_8		rank: C;large subunit ribosomal protein L17 (db=kegg)	K02879
349	P14495	988_SemiBin_105_contig_5494474_6		rank: D;Coenzyme A transferase [PF01144.28] (db=pfam)	NA
350	P14516	988_SemiBin_105_contig_5494490_10	MEGAHIT-MetaBAT2-S962.187_contig_2556331_7	rank: D;Toxic anion resistance protein (TelA) [PF05816.16] (db=pfam)	NA
351	P14529	988_SemiBin_105_contig_5494513_6	MEGAHIT-MetaBAT2-S962.187_contig_2556197_2	rank: C;HSP20 family protein (db=kegg)	K13993
352	P14540	988_SemiBin_105_contig_5494532_6	group3_bins.288_contig_4842556_2	rank: C;uncharacterized protein (db=kegg)	K07137
353	P14557	988_SemiBin_31_contig_1970419_8		rank: E	NA
354	P14561	988_SemiBin_31_contig_1970433_8	MEGAHIT-MetaBAT2-S947.59_contig_90679_3	rank: C;elongation factor Tu (db=kegg)	K02358
355	P14570	988_SemiBin_31_contig_1970462_6	MEGAHIT-MetaBAT2-S947.59_contig_90372_3	rank: C;large subunit ribosomal protein L4 (db=kegg)	K02926
356	P14776	991_SemiBin_113_contig_800943_111		rank: C;peptidyl-dipeptidase Dcp [EC:3.4.15.5] (db=kegg)	K01284
357	P14862	991_SemiBin_113_contig_800953_22		rank: C;SecD/SecF fusion protein (db=kegg)	K12257
358	P14954	991_SemiBin_113_contig_800961_60		rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)	K03770
359	P15012	991_SemiBin_141_contig_1443034_34	MEGAHIT-MetaBAT2-S947.111_contig_76376_11, MEGAHIT-MetaBAT2-S950.5_contig_1514597_28, MEGAHIT-MetaBAT2-S951.173_contig_4789069_4, MEGAHIT-MetaBAT2-S955.226_contig_2978334_48	rank: D;Family of unknown function (DUF5932) [PF19355.4];Response regulator receiver domain [PF00072.29] (db=pfam)	NA
360	P15056	991_SemiBin_141_contig_1443057_30		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)	K01803
361	P15065	991_SemiBin_141_contig_1443060_21		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
362	P15085	991_SemiBin_141_contig_1443072_16		rank: C;thymidylate synthase (FAD) [EC:2.1.1.148] (db=kegg)	K03465
363	P15113	991_SemiBin_141_contig_1443102_26		rank: D;Domain of unknown function (DUF5074) [PF16819.10] (db=pfam)	NA
364	P15115	991_SemiBin_141_contig_1443102_38		rank: D;OmpA family [PF00691.25] (db=pfam)	NA
365	P15155	991_SemiBin_141_contig_1443131_2		rank: E	NA
366	P15156	991_SemiBin_141_contig_1443131_3		rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)	K21572
367	P15157	991_SemiBin_141_contig_1443131_4		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
368	P15172	991_SemiBin_141_contig_1443139_4		rank: C;alpha-D-xyloside xylohydrolase [EC:3.2.1.177] (db=kegg)	K01811
369	P15215	991_SemiBin_141_contig_1443156_30		rank: C;aspartate--ammonia ligase [EC:6.3.1.1] (db=kegg)	K01914
370	P15238	991_SemiBin_141_contig_1443169_10		rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)	K21573
371	P15239	991_SemiBin_141_contig_1443169_11		rank: E	NA
372	P15263	991_SemiBin_141_contig_1443188_20		rank: C;alanyl-tRNA synthetase [EC:6.1.1.7] (db=kegg)	K01872
373	P15293	991_SemiBin_49_contig_4970553_33		rank: E	NA
374	P15298	991_SemiBin_49_contig_4970563_1		rank: E	NA
375	P15308	991_SemiBin_49_contig_4970570_6	992_SemiBin_233_contig_1712856_30, group9_bins.244_contig_1379207_29	rank: C;large subunit ribosomal protein L31 (db=kegg)	K02909
376	P15319	991_SemiBin_49_contig_4970579_4		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)	K10112
377	P15328	991_SemiBin_49_contig_4970580_23	992_SemiBin_233_contig_1712878_71, MEGAHIT-MetaBAT2-S948.142_contig_869936_48	rank: C;large subunit ribosomal protein L14 (db=kegg)	K02874
378	P15349	991_SemiBin_49_contig_4970603_7	992_SemiBin_233_contig_1712872_10	rank: C;phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20] (db=kegg)	K01890
379	P15378	991_SemiBin_49_contig_4970652_6		rank: E	NA
380	P15403	991_SemiBin_49_contig_4970722_13		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
381	P15447	992_SemiBin_141_contig_2220270_3		rank: C;adenosylhomocysteinase [EC:3.13.2.1] (db=kegg)	K01251
382	P15466	992_SemiBin_233_contig_1712817_5		rank: C;methyl-accepting chemotaxis protein (db=kegg)	K03406
383	P15502	992_SemiBin_233_contig_1712828_2		rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)	K00262
384	P15511	992_SemiBin_233_contig_1712830_4		rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)	K07315
385	P15515	992_SemiBin_233_contig_1712831_12		rank: D;Borrelia membrane protein P13 [PF05628.17] (db=pfam)	NA
386	P15524	992_SemiBin_233_contig_1712832_17		rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)	K18682
387	P15541	992_SemiBin_233_contig_1712839_1		rank: C;alanine or glycine:cation symporter, AGCS family (db=kegg)	K03310
388	P15554	992_SemiBin_233_contig_1712844_6		rank: D;Aminopeptidase I zinc metalloprotease (M18) [PF02127.20];M42 glutamyl aminopeptidase [PF05343.19] (db=pfam)	NA
389	P15583	992_SemiBin_233_contig_1712856_5		rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)	K07315
390	P15587	992_SemiBin_233_contig_1712859_42		rank: C;maltose transport system substrate-binding protein (db=kegg)	K25086
391	P15590	992_SemiBin_233_contig_1712861_47		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
392	P15591	992_SemiBin_233_contig_1712861_48		rank: D;Flagellar filament outer layer protein Flaa [PF04620.17] (db=pfam)	NA
393	P15592	992_SemiBin_233_contig_1712861_49		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)	K01624
394	P15626	992_SemiBin_233_contig_1712870_4		rank: C;methyl-accepting chemotaxis protein (db=kegg)	K03406
395	P15627	992_SemiBin_233_contig_1712870_8		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	K00656
396	P15628	992_SemiBin_233_contig_1712870_9		rank: E	NA
397	P15634	992_SemiBin_233_contig_1712874_9		rank: C;LemA protein (db=kegg)	K03744
398	P15646	992_SemiBin_233_contig_1712876_5		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)	NA
399	P15650	992_SemiBin_233_contig_1712877_11	MEGAHIT-MetaBAT2-S948.142_contig_869899_11	rank: C;heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] (db=kegg)	K03388
400	P15660	992_SemiBin_233_contig_1712877_16		rank: D;4Fe-4S dicluster domain [PF13187.11];4Fe-4S dicluster domain [PF12838.12];4Fe-4S dicluster domain [PF13534.11];4Fe-4S dicluster domain [PF13237.11];4Fe-4S dicluster domain [PF13183.11];4Fe-4S dicluster domain [PF14697.11];2Fe-2S iron-sulfur cluster binding domain [PF13510.11] (db=pfam)	NA
