"Protein"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"SCORE_neg_log10_p"	"Protein"	"Indistinguishable.Proteins"	"Description"
"337"	"P20438"	8.68613770388648	6.60283933278546	-2.08329837110102	0.0131362317929111	1.8815291968953	"MEGAHIT-MetaBAT2-S945.92_contig_5403095_14"	""	"rank: C;small subunit ribosomal protein S3 (db=kegg)"
"338"	"P20457"	11.7533716800589	8.70020035701531	-3.05317132304356	0.0146471462376886	1.83424698240562	"MEGAHIT-MetaBAT2-S945.92_contig_5403097_5"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"339"	"P20466"	6.97301766983046	8.71948828477451	1.74647061494406	0.0324427079867313	1.4888829024692	"MEGAHIT-MetaBAT2-S945.92_contig_5403103_12"	""	"rank: C;myo-inositol-1-phosphate synthase [EC:5.5.1.4] (db=kegg)"
"340"	"P20467"	7.04688184961631	5.94412372282794	-1.10275812678837	0.0484498964404461	1.31470714689786	"MEGAHIT-MetaBAT2-S945.92_contig_5403104_2"	""	"rank: D;Chitobiase/beta-hexosaminidase C-terminal domain [PF13290.11];Starch-binding module 26 [PF16738.10];Fn3 associated [PF13287.11] (db=pfam)"
"341"	"P20479"	10.4624365327164	7.4665443293758	-2.9958922033406	0.00654392978549796	2.18416136916778	"MEGAHIT-MetaBAT2-S945.92_contig_5403112_6"	""	"rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)"
"342"	"P20483"	8.83619166868495	6.6405678726249	-2.19562379606005	0.0165268774538454	1.7818091931718	"MEGAHIT-MetaBAT2-S945.92_contig_5403114_14"	""	"rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)"
"343"	"P20486"	14.657648369167	11.9917689864184	-2.66587938274868	0.0391578184773892	1.40718151119021	"MEGAHIT-MetaBAT2-S945.92_contig_5403114_5"	""	"rank: C;6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50] (db=kegg)"
"344"	"P20487"	12.246766124918	9.3142927389625	-2.93247338595553	0.00890865478243832	2.05018787000025	"MEGAHIT-MetaBAT2-S945.92_contig_5403114_6"	""	"rank: C;bleomycin hydrolase [EC:3.4.22.40] (db=kegg)"
"345"	"P20497"	6.78578307602096	5.70931703321124	-1.07646604280972	0.0334668397061654	1.47538529639557	"MEGAHIT-MetaBAT2-S945.92_contig_5403122_10"	""	"rank: C;molecular chaperone HtpG (db=kegg)"
"346"	"P20498"	7.85768473745859	6.1188042676699	-1.73888046978869	0.00857463170572605	2.06678452453369	"MEGAHIT-MetaBAT2-S945.92_contig_5403125_2"	""	"rank: E"
"347"	"P20503"	14.3431963259017	10.8794745570011	-3.46372176890059	0.0136604875225136	1.86453380105278	"MEGAHIT-MetaBAT2-S945.92_contig_5403127_11"	""	"rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)"
"348"	"P20507"	8.46416561843779	6.60440364304223	-1.85976197539556	0.0389411144698339	1.40959162340733	"MEGAHIT-MetaBAT2-S945.92_contig_5403127_6"	""	"rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)"
"349"	"P20508"	13.2226186610805	10.3780273875949	-2.84459127348567	0.0463256056273722	1.33417889432085	"MEGAHIT-MetaBAT2-S945.92_contig_5403127_9"	""	"rank: C;starch-binding outer membrane protein SusE/F (db=kegg)"
"350"	"P20511"	9.64775713925179	7.54156143481826	-2.10619570443353	0.0390444212522865	1.40844101024836	"MEGAHIT-MetaBAT2-S945.92_contig_5403128_5"	""	"rank: E"
"351"	"P20512"	11.6303346978522	8.26798091777783	-3.3623537800744	0.00694860917009122	2.15810211486338	"MEGAHIT-MetaBAT2-S945.92_contig_5403130_5"	""	"rank: D;Family of unknown function (DUF5723) [PF18990.5] (db=pfam)"
"352"	"P20513"	9.30473062766769	6.99139257541616	-2.31333805225153	0.0355147405199405	1.44959135405034	"MEGAHIT-MetaBAT2-S945.92_contig_5403130_6"	""	"rank: E"
"353"	"P20522"	11.7002766665408	8.61132595389424	-3.08895071264659	0.0130339532709115	1.88492384036218	"MEGAHIT-MetaBAT2-S945.92_contig_5403137_9"	""	"rank: C;phosphate-selective porin OprO and OprP (db=kegg)"
"354"	"P20526"	13.8866216241615	15.8822295652521	1.99560794109058	0.0265849030705939	1.57536491879847	"MEGAHIT-MetaBAT2-S945.92_contig_5403141_18"	""	"rank: D;Amino acid kinase family [PF00696.33];ACT domain [PF22468.1] (db=pfam)"
"355"	"P20541"	10.8782134617157	8.28408051893205	-2.59413294278366	0.0387900477426412	1.41127968587164	"MEGAHIT-MetaBAT2-S945.92_contig_5403147_13"	""	"rank: D;Rubrerythrin, rubredoxin-like domain [PF21349.2];Rubrerythrin [PF02915.22] (db=pfam)"
"356"	"P20544"	8.97516188732413	6.64002337256396	-2.33513851476017	0.0299030689081202	1.52428423838234	"MEGAHIT-MetaBAT2-S945.92_contig_5403150_15"	""	"rank: D;Putative beta-lactamase-inhibitor-like, PepSY-like [PF11396.13] (db=pfam)"
"357"	"P20545"	8.47054710891821	6.36518231805172	-2.10536479086649	0.0257766465105448	1.58877358413928	"MEGAHIT-MetaBAT2-S945.92_contig_5403151_6"	""	"rank: C;polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] (db=kegg)"
"358"	"P20551"	8.48586613057244	6.51453855170719	-1.97132757886525	0.0156192045305712	1.8063410880503	"MEGAHIT-MetaBAT2-S945.92_contig_5403154_8"	""	"rank: C;IMP dehydrogenase [EC:1.1.1.205] (db=kegg)"
"359"	"P20556"	9.33534526540306	7.2638272330882	-2.07151803231485	0.0249875946873199	1.60227554716687	"MEGAHIT-MetaBAT2-S945.92_contig_5403155_15"	""	"rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)"
"360"	"P20557"	7.52102038237611	6.00336718053147	-1.51765320184464	0.026093160321421	1.5834733173339	"MEGAHIT-MetaBAT2-S945.92_contig_5403155_16"	""	"rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)"
"361"	"P20560"	8.72483655245387	6.49845665518494	-2.22637989726893	0.0132314499820612	1.87839256059689	"MEGAHIT-MetaBAT2-S945.92_contig_5403156_13"	""	"rank: C;large subunit ribosomal protein L21 (db=kegg)"
"362"	"P20563"	7.39015777279948	6.31572296125648	-1.074434811543	0.045193387755282	1.34492510216782	"MEGAHIT-MetaBAT2-S945.92_contig_5403156_6"	""	"rank: C;F-type H+-transporting ATPase subunit a (db=kegg)"
"363"	"P20567"	7.07878046480483	6.06010429585507	-1.01867616894976	0.0396738891862758	1.40149522404443	"MEGAHIT-MetaBAT2-S945.92_contig_5403157_22"	""	"rank: D;Domain of unknown function (DUF4878) [PF12870.12] (db=pfam)"
"364"	"P20568"	11.0614648610992	7.86680155712072	-3.1946633039785	0.00604731715129892	2.21843725424056	"MEGAHIT-MetaBAT2-S945.92_contig_5403160_10"	""	"rank: C;2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42] (db=kegg)"
"365"	"P20576"	7.35572015722681	5.87266899194823	-1.48305116527858	0.0271291129274723	1.56656440664394	"MEGAHIT-MetaBAT2-S945.92_contig_5403163_26"	""	"rank: D;D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain [PF00389.35];D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.24];NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.20] (db=pfam)"
"366"	"P20579"	11.9514742848682	8.26749249547473	-3.68398178939344	0.00153024026597532	2.8152403744144	"MEGAHIT-MetaBAT2-S945.92_contig_5403164_14"	""	"rank: C;peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8] (db=kegg)"
"367"	"P20581"	7.16076280561688	5.96240131507985	-1.19836149053703	0.0470020266047225	1.32788341601592	"MEGAHIT-MetaBAT2-S945.92_contig_5403165_13"	""	"rank: C;glucuronate isomerase [EC:5.3.1.12] (db=kegg)"
"368"	"P20582"	8.07397179026332	6.23864047283117	-1.83533131743214	0.0314299393158241	1.50265645750702	"MEGAHIT-MetaBAT2-S945.92_contig_5403165_14"	""	"rank: C;polysaccharide biosynthesis/export protein (db=kegg)"
"369"	"P20586"	7.83007798980982	6.0205996017995	-1.80947838801031	0.022288787479931	1.65191355669241	"MEGAHIT-MetaBAT2-S945.92_contig_5403167_19"	""	"rank: C;transcription termination/antitermination protein NusA (db=kegg)"
"370"	"P20591"	8.63139001938587	5.83365208439708	-2.79773793498879	0.000519266803440548	3.28460944082381	"MEGAHIT-MetaBAT2-S945.92_contig_5403170_12"	""	"rank: C;periplasmic protein TonB (db=kegg)"
"371"	"P20592"	14.7883837415934	12.1764141372106	-2.61196960438279	0.026522146938209	1.57639132319043	"MEGAHIT-MetaBAT2-S945.92_contig_5403170_9"	""	"rank: C;biopolymer transport protein ExbB (db=kegg)"
"372"	"P20598"	10.8965614917767	7.47382105240929	-3.42274043936739	0.0024935715124964	2.60317817224721	"MEGAHIT-MetaBAT2-S945.92_contig_5403179_19"	""	"rank: D;Domain of unknown function (DUF4836) [PF16120.10] (db=pfam)"
"373"	"P20599"	8.67099747120493	6.50854032564451	-2.16245714556042	0.0147082005278488	1.83244045770279	"MEGAHIT-MetaBAT2-S945.92_contig_5403179_23"	""	"rank: E"
"374"	"P20601"	12.9245476774524	10.1398883203214	-2.78465935713109	0.0406806168273442	1.39061247062931	"MEGAHIT-MetaBAT2-S945.92_contig_5403179_25"	""	"rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)"
"375"	"P20602"	12.7328247613678	9.15912025115528	-3.57370451021248	0.00733318646846625	2.13470727161201	"MEGAHIT-MetaBAT2-S945.92_contig_5403179_26"	""	"rank: D;Putative zinc-binding metallo-peptidase [PF15890.10] (db=pfam)"
"376"	"P20604"	11.1661554698678	8.46529576663021	-2.70085970323763	0.0333788142564244	1.47652909518938	"MEGAHIT-MetaBAT2-S945.92_contig_5403179_28"	""	"rank: E"
"377"	"P20605"	8.28783424892703	5.89823006805459	-2.38960418087244	0.00171924215173458	2.76466294951678	"MEGAHIT-MetaBAT2-S945.92_contig_5403179_43"	""	"rank: C;Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA (db=kegg)"
"378"	"P20609"	12.490248927786	9.06004410029765	-3.43020482748834	0.00766305360572049	2.115598136392	"MEGAHIT-MetaBAT2-S945.92_contig_5403180_7"	""	"rank: E"
"379"	"P20610"	12.8884497405203	10.0950469948328	-2.79340274568748	0.0250132565670346	1.60182976220704	"MEGAHIT-MetaBAT2-S945.92_contig_5403180_8"	""	"rank: D;Family of unknown function (DUF5689) [PF18942.5] (db=pfam)"
"380"	"P20613"	6.94628309656466	5.73127364381319	-1.21500945275146	0.0374400578554629	1.42666348882579	"MEGAHIT-MetaBAT2-S945.92_contig_5403182_1"	""	"rank: C;bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3] (db=kegg)"
"381"	"P20615"	7.66587279445399	6.33420680695249	-1.3316659875015	0.0495239886491277	1.30518438461502	"MEGAHIT-MetaBAT2-S945.92_contig_5403186_2"	""	"rank: E"
"382"	"P20621"	12.0271653975506	9.37636619701972	-2.65079920053087	0.043236084244747	1.36415364561385	"MEGAHIT-MetaBAT2-S945.92_contig_5403194_36"	""	"rank: D;Cellulase (glycosyl hydrolase family 5) [PF00150.23] (db=pfam)"
"383"	"P20623"	14.8256599819936	12.0501982307704	-2.77546175122322	0.0453843064978768	1.34309429647387	"MEGAHIT-MetaBAT2-S945.92_contig_5403194_38"	""	"rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)"
"384"	"P20627"	9.80351137426874	7.67126745880548	-2.13224391546326	0.0365884662432875	1.43665579537914	"MEGAHIT-MetaBAT2-S945.92_contig_5403194_51"	""	"rank: C;rod shape-determining protein MreB and related proteins (db=kegg)"
"385"	"P20631"	7.56040564236591	5.76794089227147	-1.79246475009444	0.00570432389529303	2.24379582292743	"MEGAHIT-MetaBAT2-S945.92_contig_5403195_10"	""	"rank: C;NADH-quinone oxidoreductase subunit N [EC:7.1.1.2] (db=kegg)"
"386"	"P20644"	11.8679626670229	7.86784024006933	-4.00012242695354	0.00140779842463891	2.85145952511872	"MEGAHIT-MetaBAT2-S945.92_contig_5403205_7"	""	"rank: D;Domain of unknown function (DUF4595) with porin-like fold [PF15283.11] (db=pfam)"
"387"	"P20646"	12.2974992968281	9.79948920384927	-2.49801009297886	0.0290291478589714	1.53716571255201	"MEGAHIT-MetaBAT2-S945.92_contig_5403207_14"	""	"rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)"
"388"	"P20651"	12.7865034658395	9.89936724604162	-2.88713621979789	0.0330223124173966	1.48119251814313	"MEGAHIT-MetaBAT2-S945.92_contig_5403209_7"	""	"rank: D;Domain of unknown function (DUF5123) [PF17161.9];Domain of unknown function (DUF4957) [PF16318.10] (db=pfam)"
"389"	"P20661"	10.5529682914342	8.03574018163092	-2.5172281098033	0.0414432987562791	1.38254568341169	"MEGAHIT-MetaBAT2-S945.92_contig_5403219_26"	""	"rank: D;Bacterial Ig-like domain (group 2) [PF02368.23] (db=pfam)"
"390"	"P20662"	7.46599082465498	6.06972409737492	-1.39626672728005	0.0313648075035015	1.50355737353151	"MEGAHIT-MetaBAT2-S945.92_contig_5403219_31"	""	"rank: C;glucokinase [EC:2.7.1.2] (db=kegg)"
"391"	"P2069"	6.93072663057298	9.03350469623113	2.10277806565815	0.0383313898191876	1.41644543381475	"937_SemiBin_148_contig_282880_3"	""	"rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)"
"392"	"P20772"	7.29128608096777	10.2836429621954	2.99235688122762	0.00332716726109472	2.4779253660249	"MEGAHIT-MetaBAT2-S946.102_contig_5359918_14"	"MEGAHIT-MetaBAT2-S980.86_contig_3882259_5, group3_bins.39_contig_6031613_6"	"rank: C;formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (db=kegg)"
"393"	"P20869"	7.57958788339103	5.90844109522979	-1.67114678816125	0.0113438932399755	1.94523786938841	"MEGAHIT-MetaBAT2-S946.20_contig_6490332_3"	""	"rank: C;flagellar hook protein FlgE (db=kegg)"
"394"	"P20987"	6.8917236275609	5.74794642616916	-1.14377720139173	0.0472758043490242	1.32536107334763	"MEGAHIT-MetaBAT2-S946.49_contig_2524393_3"	""	"rank: C;starch-binding outer membrane protein, SusD/RagB family (db=kegg)"
"395"	"P20992"	7.19969601562492	5.74680076289648	-1.45289525272844	0.0144808876348048	1.83920481637903	"MEGAHIT-MetaBAT2-S946.49_contig_2524397_120"	""	"rank: D;Fibrobacter succinogenes major domain (Fib_succ_major) [PF09603.15] (db=pfam)"
"396"	"P21008"	7.14878547185719	5.762848251123	-1.38593722073419	0.0101286496043525	1.99444845281067	"MEGAHIT-MetaBAT2-S946.49_contig_2524421_8"	""	"rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)"
"397"	"P21028"	8.2412627761792	10.995259677617	2.7539969014378	0.023271524813848	1.63317515962068	"MEGAHIT-MetaBAT2-S946.6_contig_6078713_22"	""	"rank: C;small subunit ribosomal protein S7 (db=kegg)"
"398"	"P21081"	5.68801167947076	6.87814560346566	1.1901339239949	0.0461977734548304	1.33537895517077	"MEGAHIT-MetaBAT2-S947.111_contig_76229_7"	""	"rank: C;IMP dehydrogenase [EC:1.1.1.205] (db=kegg)"
"399"	"P21179"	8.84523874783721	11.446619424122	2.60138067628483	0.030165643001315	1.52048741296496	"MEGAHIT-MetaBAT2-S947.111_contig_76298_19"	""	"rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)"
"400"	"P21239"	11.1856836316596	8.77905573580082	-2.40662789585881	0.0344831532682584	1.46239302752282	"MEGAHIT-MetaBAT2-S947.111_contig_76329_14"	""	"rank: C;small subunit ribosomal protein S14 (db=kegg)"
"401"	"P21265"	10.1562542948312	12.5756309879984	2.41937669316729	0.0267338346386046	1.57293874259241	"MEGAHIT-MetaBAT2-S947.111_contig_76355_129"	""	"rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)"
"402"	"P21302"	8.70111794955642	6.73144819137333	-1.96966975818309	0.0444359317721761	1.35226570872691	"MEGAHIT-MetaBAT2-S947.111_contig_76371_5"	""	"rank: C;F-type H+-transporting ATPase subunit c (db=kegg)"
"403"	"P21307"	9.09463475889282	7.17951465637435	-1.91512010251847	0.0331874668661994	1.47902589516644	"MEGAHIT-MetaBAT2-S947.111_contig_76376_22"	""	"rank: D;Domain of unknown function (DUF4270) [PF14092.11] (db=pfam)"
"404"	"P21394"	9.30041125545985	11.9018550719158	2.60144381645596	0.0259328688576942	1.58614943617522	"MEGAHIT-MetaBAT2-S947.49_contig_3623552_1"	""	"rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)"
"405"	"P21403"	11.8402703624978	14.8255785968053	2.98530823430747	0.0382401899073519	1.41747995960958	"MEGAHIT-MetaBAT2-S947.49_contig_3623785_3"	""	"rank: E"
"406"	"P21480"	7.15007100228417	9.27294912506971	2.12287812278554	0.0448629119427803	1.34811254083692	"MEGAHIT-MetaBAT2-S947.6_contig_2426404_89"	""	"rank: E"
"407"	"P21496"	9.83005999954186	12.2038172718103	2.37375727226842	0.0456864071444693	1.34021299424642	"MEGAHIT-MetaBAT2-S947.6_contig_2426412_77"	""	"rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)"
"408"	"P21499"	8.4499294731672	6.48049018475658	-1.96943928841061	0.0167668555912779	1.77554837611778	"MEGAHIT-MetaBAT2-S947.6_contig_2426420_109"	""	"rank: C;TonB-dependent starch-binding outer membrane protein SusC (db=kegg)"
"409"	"P21590"	8.3842503573851	11.0505038762495	2.66625351886443	0.0432476713484168	1.36403727196239	"MEGAHIT-MetaBAT2-S947.8_contig_60520_16"	""	"rank: C;long-chain fatty acid transport protein (db=kegg)"
"410"	"P21597"	5.79752028375044	7.2208067023011	1.42328641855066	0.0313053730913578	1.50438111601072	"MEGAHIT-MetaBAT2-S947.8_contig_60550_3"	""	"rank: C;LemA protein (db=kegg)"
"411"	"P21652"	5.89179066813456	6.99576332841021	1.10397266027565	0.0385509868201102	1.41396450049128	"MEGAHIT-MetaBAT2-S948.11_contig_4459042_3"	""	"rank: D;Xylose isomerase-like TIM barrel [PF01261.29] (db=pfam)"
"412"	"P21697"	8.93146476930735	12.076880910391	3.14541614108364	0.0234165332840779	1.63047739991424	"MEGAHIT-MetaBAT2-S948.142_contig_869886_12"	""	"rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)"
"413"	"P21731"	12.1681478472371	15.316084526263	3.14793667902587	0.0336114702230774	1.47351249033312	"MEGAHIT-MetaBAT2-S948.142_contig_869920_9"	""	"rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)"
"414"	"P21733"	6.60310050466477	8.57119038696694	1.96808988230217	0.045933807367028	1.33786755523611	"MEGAHIT-MetaBAT2-S948.142_contig_869921_16"	""	"rank: D;L-fucose isomerase, C-terminal domain [PF02952.22];L-arabinose isomerase [PF02610.20] (db=pfam)"
"415"	"P21735"	7.1064010812158	10.1010698686222	2.99466878740645	0.00481111561488638	2.31775420653459	"MEGAHIT-MetaBAT2-S948.142_contig_869922_12"	""	"rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)"
"416"	"P21738"	8.79495652151906	13.6175342799934	4.82257775847439	0.000266935594447564	3.57359351148239	"MEGAHIT-MetaBAT2-S948.142_contig_869924_32"	""	"rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)"
"417"	"P21753"	10.3954263952453	13.7436327409116	3.34820634566628	0.00717647250987981	2.14408897441245	"MEGAHIT-MetaBAT2-S948.142_contig_869936_41"	""	"rank: C;large subunit ribosomal protein L2 (db=kegg)"
"418"	"P21759"	11.6882788749673	14.2041924725583	2.51591359759094	0.0315993238667998	1.50032220991512	"MEGAHIT-MetaBAT2-S948.142_contig_869936_55"	""	"rank: C;small subunit ribosomal protein S5 (db=kegg)"
"419"	"P21767"	5.92151369196689	8.66661833896947	2.74510464700258	0.00252720301008927	2.59735986982514	"MEGAHIT-MetaBAT2-S948.142_contig_869941_13"	""	"rank: C;flagellin (db=kegg)"
"420"	"P2178"	12.0335079630087	14.1468217390623	2.11331377605356	0.0479941953047608	1.31881128553179	"938_SemiBin_99_contig_3776150_24"	""	"rank: C;Bacteriophage tail sheath protein (db=kegg)"
"421"	"P21791"	14.0917258523586	18.2677544197439	4.17602856738527	0.00168643371410512	2.77303072424301	"MEGAHIT-MetaBAT2-S948.142_contig_869955_3"	""	"rank: E"
"422"	"P21794"	6.61838720409683	9.35851201551866	2.74012481142183	0.010848077316017	1.96464722817835	"MEGAHIT-MetaBAT2-S948.142_contig_869956_21"	""	"rank: C;uncharacterized protein (db=kegg)"
"423"	"P21813"	14.3663948472815	18.7631113733862	4.39671652610469	0.00106090342950461	2.97432414667551	"MEGAHIT-MetaBAT2-S948.142_contig_869990_17"	""	"rank: E"
"424"	"P21981"	11.18586389358	14.2063587473012	3.02049485372121	0.0148194864202941	1.82916684687607	"MEGAHIT-MetaBAT2-S949.157_contig_2408537_9"	""	"rank: E"
"425"	"P2200"	8.38873421211628	6.32326323926525	-2.06547097285103	0.0110770477808069	1.95557597095639	"938_SemiBin_99_contig_3776294_1"	""	"rank: D;CoA enzyme activase uncharacterised domain (DUF2229) [PF09989.14] (db=pfam)"
"426"	"P22012"	12.0042565099066	14.3986234083835	2.39436689847693	0.016513578133731	1.78215881435879	"MEGAHIT-MetaBAT2-S949.157_contig_2408553_1"	""	"rank: C;valyl-tRNA synthetase [EC:6.1.1.9] (db=kegg)"
"427"	"P22034"	14.8879427908319	16.4259244984594	1.5379817076275	0.0258530620607619	1.58748801128046	"MEGAHIT-MetaBAT2-S949.157_contig_2408562_1"	""	"rank: C;large subunit ribosomal protein L7/L12 (db=kegg)"
"428"	"P22069"	6.16422128287613	8.2105724666193	2.04635118374318	0.0364119744777839	1.43875577035042	"MEGAHIT-MetaBAT2-S949.157_contig_2408568_26"	""	"rank: C;uncharacterized protein (db=kegg)"
"429"	"P22083"	8.75873681506183	6.66041498448045	-2.09832183058138	0.0313131352002551	1.50427344685119	"MEGAHIT-MetaBAT2-S949.157_contig_2408575_10"	""	"rank: D;ABC transporter [PF00005.32];Oligopeptide/dipeptide transporter, C-terminal region [PF08352.17] (db=pfam)"
"430"	"P22136"	6.89991952274318	5.58506989374672	-1.31484962899646	0.0263082951573402	1.5799072943601	"MEGAHIT-MetaBAT2-S949.157_contig_2408593_1"	""	"rank: C;UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98] (db=kegg)"
"431"	"P22259"	6.50748947394857	8.33840839352901	1.83091891958044	0.0213889087136944	1.66981137305872	"MEGAHIT-MetaBAT2-S949.157_contig_2408627_12"	""	"rank: C;prephenate dehydrogenase [EC:1.3.1.12] (db=kegg)"
"432"	"P2244"	5.87793443346205	6.97607156260238	1.09813712914033	0.0331089463785923	1.48005463952108	"939_SemiBin_272_contig_3873187_2"	""	"rank: C;glutamate dehydrogenase (NADP+) [EC:1.4.1.4] (db=kegg)"
"433"	"P225"	11.5828232981148	14.3257629135797	2.74293961546489	0.0243628312317638	1.6132722432607	"932_SemiBin_153_contig_6137050_12"	""	"rank: D;Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain [PF02800.25];Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain [PF00044.29] (db=pfam)"
"434"	"P22616"	9.69765133225448	12.2400370670531	2.54238573479865	0.033581762068149	1.47389651974066	"MEGAHIT-MetaBAT2-S950.5_contig_1514499_10"	""	"rank: E"
"435"	"P22637"	5.91440084829739	7.62046410077237	1.70606325247498	0.0154552436904238	1.81092414281213	"MEGAHIT-MetaBAT2-S950.5_contig_1514501_2"	""	"rank: D;Condensin complex protein MksE [PF21980.1] (db=pfam)"
"436"	"P22666"	9.7622637198035	12.3024959149356	2.54023219513206	0.0432780321615028	1.36373249468591	"MEGAHIT-MetaBAT2-S950.5_contig_1514511_18"	""	"rank: C;phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] (db=kegg)"
"437"	"P22680"	16.1171213791015	17.2745062071702	1.15738482806862	0.0352825557848088	1.45243996313668	"MEGAHIT-MetaBAT2-S950.5_contig_1514522_11"	""	"rank: C;branched-chain amino acid aminotransferase [EC:2.6.1.42] (db=kegg)"
"438"	"P22686"	8.92068272271044	11.7830516210914	2.86236889838095	0.0221099331904736	1.65541256972579	"MEGAHIT-MetaBAT2-S950.5_contig_1514522_4"	""	"rank: D;Outer membrane efflux protein [PF02321.23] (db=pfam)"
"439"	"P22692"	5.98051287801862	7.5309866890284	1.55047381100977	0.0397819602115278	1.40031382131023	"MEGAHIT-MetaBAT2-S950.5_contig_1514523_14"	""	"rank: C;putative ATPase (db=kegg)"
"440"	"P22710"	5.75913586151546	8.45101584219143	2.69187998067597	0.00537279211989408	2.26979996250769	"MEGAHIT-MetaBAT2-S950.5_contig_1514529_7"	""	"rank: C;dipeptidase D [EC:3.4.13.-] (db=kegg)"
"441"	"P22727"	16.2832709214109	17.7976147224163	1.51434380100537	0.0404263783385545	1.39333516388604	"MEGAHIT-MetaBAT2-S950.5_contig_1514535_17"	""	"rank: C;UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227] (db=kegg)"
"442"	"P22746"	13.8146637179528	15.7753439936145	1.96068027566164	0.0133612799913766	1.87415193508173	"MEGAHIT-MetaBAT2-S950.5_contig_1514540_19"	""	"rank: D;Proton-conducting membrane transporter [PF00361.25];NADH-ubiquinone oxidoreductase chain 4, amino terminus [PF01059.22] (db=pfam)"
"443"	"P22766"	14.9082503192423	16.7092643277398	1.80101400849751	0.0218807275269251	1.65993824195121	"MEGAHIT-MetaBAT2-S950.5_contig_1514545_16"	""	"rank: D;Serpin (serine protease inhibitor) [PF00079.25] (db=pfam)"
"444"	"P22807"	11.5246939834025	13.926349283088	2.40165529968544	0.0373969007167349	1.42716438863892	"MEGAHIT-MetaBAT2-S950.5_contig_1514570_13"	""	"rank: D;Domain of unknown function (DUF4840) [PF16128.10] (db=pfam)"
"445"	"P22842"	14.6492689192062	16.1693742686305	1.52010534942429	0.0249829502540098	1.60235627679535	"MEGAHIT-MetaBAT2-S950.5_contig_1514584_21"	""	"rank: C;GTPase (db=kegg)"
"446"	"P22848"	15.940957234548	17.3097752867074	1.36881805215941	0.0409044798059824	1.38822912601523	"MEGAHIT-MetaBAT2-S950.5_contig_1514584_4"	""	"rank: C;asparaginyl-tRNA synthetase [EC:6.1.1.22] (db=kegg)"
"447"	"P22865"	5.79614638145181	8.2624692123432	2.46632283089139	0.00611909034374244	2.21331313472635	"MEGAHIT-MetaBAT2-S950.5_contig_1514592_12"	""	"rank: C;cysteine desulfuration protein SufE (db=kegg)"
"448"	"P22880"	7.12028067698859	9.70672399888539	2.5864433218968	0.0140115157745897	1.85351487992253	"MEGAHIT-MetaBAT2-S950.5_contig_1514595_21"	""	"rank: D;Outer membrane protein beta-barrel domain [PF13568.11] (db=pfam)"
"449"	"P22881"	6.53603192061858	8.168148792065	1.63211687144643	0.0218296329979979	1.66095356563232	"MEGAHIT-MetaBAT2-S950.5_contig_1514595_24"	""	"rank: D;Lipocalin-like [PF12702.12] (db=pfam)"
