Protein	Indistinguishable.Proteins	Description
1376	935_SemiBin_192_contig_3011954_22		rank: C;flagellin (db=kegg)
1377	935_SemiBin_192_contig_3011954_44		rank: E
1378	935_SemiBin_192_contig_3011955_25		rank: E
1379	935_SemiBin_192_contig_3011955_27	949_SemiBin_129_contig_6922907_6, 970_SemiBin_111_contig_3275970_22, 981_SemiBin_196_contig_5051781_68, 985_SemiBin_129_contig_7036518_6, MEGAHIT-MetaBAT2-S938.43_contig_1391512_3, MEGAHIT-MetaBAT2-S955.122_contig_5786630_15, MEGAHIT-MetaBAT2-S960.199_contig_6796953_4	rank: C;phosphate transport system ATP-binding protein [EC:7.3.2.1] (db=kegg)
1380	935_SemiBin_192_contig_3011955_5	970_SemiBin_111_contig_3275974_10, 981_SemiBin_196_contig_5051794_22, 985_SemiBin_129_contig_7036555_25, 991_SemiBin_49_contig_4970605_1, 992_SemiBin_233_contig_1712901_10, MEGAHIT-MetaBAT2-S947.49_contig_3623724_4, MEGAHIT-MetaBAT2-S948.142_contig_869955_20, MEGAHIT-MetaBAT2-S964.113_contig_1412618_4, group10_bins.149_contig_6234457_2, group3_bins.183_contig_1475969_4, group9_bins.244_contig_1379182_21	rank: C;peptide chain release factor 1 (db=kegg)
1381	935_SemiBin_192_contig_3011955_8		rank: C;LemA protein (db=kegg)
1382	935_SemiBin_192_contig_3011955_9		rank: D;Phosphofructokinase [PF00365.25] (db=pfam)
1383	935_SemiBin_192_contig_3011956_1		rank: C;rubrerythrin (db=kegg)
1384	935_SemiBin_192_contig_3011956_50		rank: C;adenine/guanine/hypoxanthine permease (db=kegg)
1385	935_SemiBin_192_contig_3011957_5		rank: E
1386	935_SemiBin_192_contig_3011959_23	985_SemiBin_129_contig_7036590_1	rank: E
1387	935_SemiBin_192_contig_3011959_6		rank: C;transcription termination factor Rho (db=kegg)
1388	935_SemiBin_192_contig_3011959_7		rank: C;large subunit ribosomal protein L31 (db=kegg)
1389	935_SemiBin_192_contig_3011959_8		rank: C;small subunit ribosomal protein S15 (db=kegg)
1390	935_SemiBin_192_contig_3011959_9		rank: C;polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] (db=kegg)
1391	935_SemiBin_192_contig_3011960_42		rank: C;large subunit ribosomal protein L9 (db=kegg)
1392	935_SemiBin_192_contig_3011960_73		rank: E
1393	935_SemiBin_192_contig_3011960_75		rank: C;small subunit ribosomal protein S2 (db=kegg)
1394	935_SemiBin_192_contig_3011960_76		rank: C;elongation factor Ts (db=kegg)
1395	935_SemiBin_192_contig_3011960_83		rank: C;starch synthase [EC:2.4.1.21] (db=kegg)
1396	935_SemiBin_192_contig_3011963_1		rank: C;flagellin (db=kegg)
1397	935_SemiBin_192_contig_3011964_58		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
1398	935_SemiBin_192_contig_3011965_2		rank: E
1399	935_SemiBin_192_contig_3011965_3		rank: E
1400	935_SemiBin_192_contig_3011965_62		rank: C;branched-chain amino acid aminotransferase [EC:2.6.1.42] (db=kegg)
1401	935_SemiBin_192_contig_3011965_68		rank: C;GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2] (db=kegg)
1402	935_SemiBin_192_contig_3011965_7		rank: C;ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6] (db=kegg)
1403	935_SemiBin_192_contig_3011966_11		rank: C;small subunit ribosomal protein S16 (db=kegg)
1404	935_SemiBin_192_contig_3011966_30		rank: C;small subunit ribosomal protein S9 (db=kegg)
1405	935_SemiBin_192_contig_3011966_7		rank: C;large subunit ribosomal protein L19 (db=kegg)
1406	935_SemiBin_192_contig_3011968_42		rank: C;methyl-accepting chemotaxis protein (db=kegg)
1407	935_SemiBin_192_contig_3011968_5	992_SemiBin_233_contig_1712907_11	rank: D;Uncharacterised 5xTM membrane BCR, YitT family COG1284 [PF02588.20];Uncharacterized protein conserved in bacteria (DUF2179) [PF10035.14] (db=pfam)
1408	935_SemiBin_192_contig_3011969_13		rank: C;glycyl-tRNA synthetase [EC:6.1.1.14] (db=kegg)
1409	935_SemiBin_192_contig_3011969_31		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)
1410	935_SemiBin_192_contig_3011969_76		rank: C;flagellin (db=kegg)
1411	935_SemiBin_192_contig_3011969_77		rank: C;flagellin (db=kegg)
1412	935_SemiBin_192_contig_3011969_81		rank: E
1413	935_SemiBin_192_contig_3011969_82		rank: E
1414	935_SemiBin_192_contig_3011971_107		rank: C;chemotaxis protein methyltransferase CheR [EC:2.1.1.80] (db=kegg)
1415	935_SemiBin_192_contig_3011971_12		rank: C;superoxide reductase [EC:1.15.1.2] (db=kegg)
1416	935_SemiBin_192_contig_3011971_130		rank: C;molecular chaperone GrpE (db=kegg)
1417	935_SemiBin_192_contig_3011971_131		rank: C;molecular chaperone DnaK (db=kegg)
1418	935_SemiBin_192_contig_3011971_133		rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)
1419	935_SemiBin_192_contig_3011971_134		rank: C;phosphoserine phosphatase RsbU/P [EC:3.1.3.3] (db=kegg)
1420	935_SemiBin_192_contig_3011971_148		rank: C;adenylate kinase [EC:2.7.4.3] (db=kegg)
1421	935_SemiBin_192_contig_3011971_159		rank: C;ribonucrease Y [EC:3.1.-.-] (db=kegg)
1422	935_SemiBin_192_contig_3011971_160	958_SemiBin_114_contig_1436048_7, 992_SemiBin_233_contig_1712883_1, MEGAHIT-MetaBAT2-S947.49_contig_3623651_1, MEGAHIT-MetaBAT2-S948.142_contig_869920_5, group10_bins.149_contig_6234433_2, group9_bins.244_contig_1379213_11	rank: C;lysyl-tRNA synthetase, class I [EC:6.1.1.6] (db=kegg)
1423	935_SemiBin_192_contig_3011971_175		rank: C;threonyl-tRNA synthetase [EC:6.1.1.3] (db=kegg)
1424	935_SemiBin_192_contig_3011971_179		rank: D;HMGL-like [PF00682.24];Conserved carboxylase domain [PF02436.23];Biotin-requiring enzyme [PF00364.27] (db=pfam)
1425	935_SemiBin_192_contig_3011971_180		rank: C;carboxybiotin decarboxylase [EC:7.2.4.1] (db=kegg)
1426	935_SemiBin_192_contig_3011971_181		rank: D;Transcription elongation factor, GreA/GreB, C-term [PF01272.24];Transcription elongation factor, N-terminal [PF03449.20] (db=pfam)
1427	935_SemiBin_192_contig_3011971_184		rank: C;acetolactate synthase I/III small subunit [EC:2.2.1.6] (db=kegg)
1428	935_SemiBin_192_contig_3011971_190	group3_bins.183_contig_1475928_27	rank: C;isocitrate dehydrogenase [EC:1.1.1.42] (db=kegg)
1429	935_SemiBin_192_contig_3011971_194		rank: C;chemotaxis protein CheX (db=kegg)
1430	935_SemiBin_192_contig_3011971_200		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)
1431	935_SemiBin_192_contig_3011971_209		rank: C;recombination protein RecA (db=kegg)
1432	935_SemiBin_192_contig_3011971_212	970_SemiBin_111_contig_3276014_9, 981_SemiBin_196_contig_5051782_49, MEGAHIT-MetaBAT2-S964.113_contig_1412693_4	rank: C;segregation and condensation protein B (db=kegg)
1433	935_SemiBin_192_contig_3011971_215		rank: C;small subunit ribosomal protein S1 (db=kegg)
1434	935_SemiBin_192_contig_3011971_232		rank: D;Cellulase (glycosyl hydrolase family 5) [PF00150.23] (db=pfam)
1435	935_SemiBin_192_contig_3011971_239	group3_bins.187_contig_1930194_47, group9_bins.244_contig_1379166_28	rank: C;V/A-type H+/Na+-transporting ATPase subunit K (db=kegg)
1436	935_SemiBin_192_contig_3011971_242		rank: C;V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1] (db=kegg)
1437	935_SemiBin_192_contig_3011971_248		rank: C;serine protease Do [EC:3.4.21.107] (db=kegg)
1438	935_SemiBin_192_contig_3011971_254		rank: E
1439	935_SemiBin_192_contig_3011971_259	992_SemiBin_233_contig_1712855_6	rank: D;HD domain [PF13487.11] (db=pfam)
1440	935_SemiBin_192_contig_3011971_26	970_SemiBin_111_contig_3276016_23, MEGAHIT-MetaBAT2-S964.113_contig_1412599_3	rank: C;ketol-acid reductoisomerase [EC:1.1.1.86] (db=kegg)
1441	935_SemiBin_192_contig_3011971_27		rank: C;polar amino acid transport system substrate-binding protein (db=kegg)
1442	935_SemiBin_192_contig_3011971_3	992_SemiBin_233_contig_1712857_3	rank: E
1443	935_SemiBin_192_contig_3011971_40		rank: E
1444	935_SemiBin_192_contig_3011971_67	970_SemiBin_111_contig_3275993_50, 981_SemiBin_196_contig_5051789_40, 985_SemiBin_129_contig_7036546_27, 991_SemiBin_49_contig_4970693_6, 992_SemiBin_233_contig_1712830_15, MEGAHIT-MetaBAT2-S947.49_contig_3623870_1, MEGAHIT-MetaBAT2-S948.142_contig_869938_24, group3_bins.187_contig_1930164_7, group9_bins.244_contig_1379187_55	rank: C;anti-sigma B factor antagonist (db=kegg)
1445	935_SemiBin_192_contig_3011971_72		rank: D;Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2 [PF00359.27] (db=pfam)
1446	935_SemiBin_192_contig_3011971_77	985_SemiBin_129_contig_7036595_4	rank: C;D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399] (db=kegg)
1447	935_SemiBin_192_contig_3011971_82		rank: C;glycine hydroxymethyltransferase [EC:2.1.2.1] (db=kegg)
1448	935_SemiBin_192_contig_3011971_99		rank: C;large subunit ribosomal protein L25 (db=kegg)
1449	935_SemiBin_192_contig_3011972_12		rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)
1450	935_SemiBin_192_contig_3011973_10		rank: D;ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.30];ATPsynthase alpha/beta subunit N-term extension [PF16886.10];ATP synthase alpha/beta family, beta-barrel domain [PF02874.28];C-terminal domain of V and A type ATP synthase [PF22919.1] (db=pfam)
1451	935_SemiBin_192_contig_3011973_12		rank: C;V/A-type H+/Na+-transporting ATPase subunit E (db=kegg)
1452	935_SemiBin_192_contig_3011973_28		rank: C;flagellar motor switch protein FliM (db=kegg)
1453	935_SemiBin_192_contig_3011973_31		rank: C;chemotaxis protein MotA (db=kegg)
1454	935_SemiBin_192_contig_3011973_6		rank: E
1455	935_SemiBin_192_contig_3011973_9		rank: D;ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.30] (db=pfam)
1456	935_SemiBin_192_contig_3011974_1	935_SemiBin_192_contig_3011985_1	rank: D;Peptidase family M23 [PF01551.27] (db=pfam)
1457	935_SemiBin_192_contig_3011975_3	group9_bins.244_contig_1379217_1	rank: C;small subunit ribosomal protein S4 (db=kegg)
1458	935_SemiBin_192_contig_3011976_1	group3_bins.32_contig_2541769_6	rank: C;enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44] (db=kegg)
1459	935_SemiBin_192_contig_3011976_13		rank: C;small subunit ribosomal protein S1 (db=kegg)
1460	935_SemiBin_192_contig_3011976_27		rank: C;xylulokinase [EC:2.7.1.17] (db=kegg)
1461	935_SemiBin_192_contig_3011980_15		rank: E
1462	935_SemiBin_192_contig_3011980_50		rank: C;ATP-dependent RNA helicase RhlB [EC:5.6.2.7] (db=kegg)
1463	935_SemiBin_192_contig_3011980_58		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)
1464	935_SemiBin_192_contig_3011981_39		rank: C;rod shape-determining protein MreB and related proteins (db=kegg)
1465	935_SemiBin_192_contig_3011983_12	970_SemiBin_111_contig_3275994_35, MEGAHIT-MetaBAT2-S964.113_contig_1412688_19, group3_bins.183_contig_1475966_14	rank: C;phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20] (db=kegg)
1466	935_SemiBin_192_contig_3011984_13		rank: D;Rubrerythrin [PF02915.22];Rubrerythrin, rubredoxin-like domain [PF21349.2] (db=pfam)
1467	935_SemiBin_192_contig_3011984_35		rank: C;S-ribosylhomocysteine lyase [EC:4.4.1.21] (db=kegg)
1468	935_SemiBin_192_contig_3011987_16		rank: C;endo-1,4-beta-xylanase [EC:3.2.1.8] (db=kegg)
1469	935_SemiBin_192_contig_3011987_27		rank: D;Bacterial Ig domain [PF17957.6] (db=pfam)
1470	935_SemiBin_192_contig_3011988_6		rank: E
1471	935_SemiBin_192_contig_3011990_15	958_SemiBin_114_contig_1435963_3, 970_SemiBin_111_contig_3276000_8, 981_SemiBin_196_contig_5051788_48, MEGAHIT-MetaBAT2-S947.49_contig_3623654_5, MEGAHIT-MetaBAT2-S964.113_contig_1412649_3, group9_bins.244_contig_1379165_28	rank: C;2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] (db=kegg)
1472	935_SemiBin_192_contig_3011993_1		rank: E
1473	935_SemiBin_192_contig_3011993_18		rank: C;alanine or glycine:cation symporter, AGCS family (db=kegg)
1474	935_SemiBin_192_contig_3011993_41		rank: C;elongation factor P (db=kegg)
1475	935_SemiBin_192_contig_3011993_53		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
1476	935_SemiBin_192_contig_3011993_58		rank: C;excinuclease ABC subunit A (db=kegg)
1477	935_SemiBin_192_contig_3011993_71	group3_bins.187_contig_1930194_2	rank: C;ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2] (db=kegg)
1478	935_SemiBin_192_contig_3011993_75		rank: D;Tetratricopeptide repeat [PF14559.11] (db=pfam)
1479	935_SemiBin_192_contig_3011995_13		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
1480	935_SemiBin_192_contig_3011995_21		rank: C;MoxR-like ATPase [EC:3.6.3.-] (db=kegg)
1481	935_SemiBin_192_contig_3011996_18		rank: D;PASTA domain [PF03793.24] (db=pfam)
1482	935_SemiBin_192_contig_3011996_23		rank: D;Sulfatase-modifying factor enzyme 1 [PF03781.21] (db=pfam)
1483	935_SemiBin_192_contig_3011996_36		rank: D;TraB/PrgY/gumN family [PF01963.22] (db=pfam)
1484	935_SemiBin_192_contig_3011996_44		rank: C;large subunit ribosomal protein L1 (db=kegg)
1485	935_SemiBin_192_contig_3011996_45		rank: C;large subunit ribosomal protein L10 (db=kegg)
1486	935_SemiBin_192_contig_3011996_46		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)
1487	935_SemiBin_192_contig_3011996_5		rank: C;dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14] (db=kegg)
1488	935_SemiBin_192_contig_3011997_1		rank: E
1489	935_SemiBin_192_contig_3011997_2		rank: E
1490	935_SemiBin_192_contig_3011998_13		rank: D;Branched-chain amino acid transport system / permease component [PF02653.21] (db=pfam)
1491	935_SemiBin_192_contig_3011998_16		rank: D;Periplasmic binding protein domain [PF13407.11];Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.26] (db=pfam)
1492	935_SemiBin_192_contig_3011999_31		rank: E
1493	935_SemiBin_192_contig_3011999_46	MEGAHIT-MetaBAT2-S937.157_contig_4521511_1	rank: D;Domain of unknown function (DUF4177) [PF13783.11] (db=pfam)
1494	935_SemiBin_192_contig_3012001_1		rank: C;phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] (db=kegg)
1495	935_SemiBin_192_contig_3012002_3		rank: C;chromosome partitioning protein (db=kegg)
1496	935_SemiBin_192_contig_3012004_14		rank: C;iron(III) transport system substrate-binding protein (db=kegg)
1497	935_SemiBin_192_contig_3012004_17		rank: C;indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8] (db=kegg)
1498	935_SemiBin_192_contig_3012006_14		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
1499	935_SemiBin_192_contig_3012006_18	985_SemiBin_129_contig_7036584_20	rank: E
1500	935_SemiBin_192_contig_3012008_9		rank: C;D-methionine transport system substrate-binding protein (db=kegg)
1501	935_SemiBin_192_contig_3012009_1	958_SemiBin_114_contig_1436093_2, 970_SemiBin_111_contig_3275973_6, 981_SemiBin_196_contig_5051802_24, group10_bins.149_contig_6234331_3, group3_bins.187_contig_1930152_64	rank: C;3-isopropylmalate dehydrogenase [EC:1.1.1.85] (db=kegg)
1502	935_SemiBin_192_contig_3012009_12		rank: C;polar amino acid transport system substrate-binding protein (db=kegg)
1503	935_SemiBin_192_contig_3012009_4	970_SemiBin_111_contig_3275971_41, MEGAHIT-MetaBAT2-S964.113_contig_1412640_13, group3_bins.183_contig_1475971_16, group9_bins.244_contig_1379187_74	rank: C;putative multiple sugar transport system permease protein (db=kegg)
1504	935_SemiBin_192_contig_3012009_5		rank: C;putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
1505	935_SemiBin_192_contig_3012009_53		rank: C;acetoin utilization protein AcuB (db=kegg)
1506	935_SemiBin_192_contig_3012009_58		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)
1507	935_SemiBin_192_contig_3012009_6		rank: C;putative multiple sugar transport system substrate-binding protein (db=kegg)
1508	935_SemiBin_192_contig_3012009_61		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)
1509	935_SemiBin_192_contig_3012009_63		rank: C;small subunit ribosomal protein S11 (db=kegg)
1510	935_SemiBin_192_contig_3012009_65		rank: C;preprotein translocase subunit SecY (db=kegg)
1511	935_SemiBin_192_contig_3012009_66		rank: C;large subunit ribosomal protein L15 (db=kegg)
1512	935_SemiBin_192_contig_3012009_68		rank: C;small subunit ribosomal protein S5 (db=kegg)
1513	935_SemiBin_192_contig_3012009_70		rank: C;large subunit ribosomal protein L6 (db=kegg)
1514	935_SemiBin_192_contig_3012009_75		rank: C;large subunit ribosomal protein L14 (db=kegg)
1515	935_SemiBin_192_contig_3012009_76		rank: C;small subunit ribosomal protein S17 (db=kegg)
1516	935_SemiBin_192_contig_3012009_79		rank: C;small subunit ribosomal protein S3 (db=kegg)
1517	935_SemiBin_192_contig_3012009_81		rank: C;small subunit ribosomal protein S19 (db=kegg)
1518	935_SemiBin_192_contig_3012009_82		rank: C;large subunit ribosomal protein L2 (db=kegg)
1519	935_SemiBin_192_contig_3012009_85		rank: C;large subunit ribosomal protein L3 (db=kegg)
1520	935_SemiBin_192_contig_3012009_86	958_SemiBin_114_contig_1436069_10, 985_SemiBin_129_contig_7036532_43, 992_SemiBin_233_contig_1712878_60, MEGAHIT-MetaBAT2-S947.49_contig_3623518_7, group10_bins.149_contig_6234286_5, group3_bins.187_contig_1930164_52, group9_bins.244_contig_1379248_118	rank: C;small subunit ribosomal protein S10 (db=kegg)
1521	935_SemiBin_192_contig_3012009_87		rank: C;elongation factor Tu (db=kegg)
1522	935_SemiBin_192_contig_3012009_88		rank: C;small subunit ribosomal protein S7 (db=kegg)
1523	935_SemiBin_192_contig_3012009_89	group3_bins.182_contig_6916418_7	rank: C;small subunit ribosomal protein S12 (db=kegg)
1524	935_SemiBin_192_contig_3012009_94		rank: C;DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6] (db=kegg)
1525	935_SemiBin_192_contig_3012009_95		rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)
1526	935_SemiBin_192_contig_3012010_15		rank: C;phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)
1527	935_SemiBin_192_contig_3012010_25	991_SemiBin_49_contig_4970683_4, 992_SemiBin_233_contig_1712852_3	rank: E
1528	935_SemiBin_210_contig_5035804_4		rank: D;Putative peptidoglycan binding domain [PF01471.23];Stage II sporulation protein [PF08486.15] (db=pfam)
1529	935_SemiBin_210_contig_5035809_4		rank: C;UDP-galactopyranose mutase [EC:5.4.99.9] (db=kegg)
1530	935_SemiBin_210_contig_5035824_3	MEGAHIT-MetaBAT2-S968.183_contig_3985731_6	rank: C;cell division protease FtsH [EC:3.4.24.-] (db=kegg)
1531	935_SemiBin_210_contig_5035826_6		rank: E
1532	935_SemiBin_210_contig_5035835_3		rank: C;molecular chaperone DnaK (db=kegg)
1533	935_SemiBin_210_contig_5035837_7	937_SemiBin_148_contig_282780_10, 938_SemiBin_99_contig_3775987_12, 946_SemiBin_182_contig_789381_118, 948_SemiBin_209_contig_3427086_31, 956_SemiBin_125_contig_954919_10, 966_SemiBin_49_contig_5227551_4, 968_SemiBin_313_contig_7005554_39, 968_SemiBin_97_contig_2791599_71, 969_SemiBin_208_contig_4993952_3, 974_SemiBin_118_contig_849988_9, 983_SemiBin_12_contig_3607291_18, 983_SemiBin_140_contig_943811_8, 983_SemiBin_75_contig_6647907_150, 986_SemiBin_101_contig_4257369_8, 993_SemiBin_156_contig_1760590_3, 993_SemiBin_2_contig_3830965_6, MEGAHIT-MetaBAT2-S935.60_contig_5798573_72, MEGAHIT-MetaBAT2-S937.157_contig_4521696_5, MEGAHIT-MetaBAT2-S937.180_contig_3990924_42, MEGAHIT-MetaBAT2-S938.190_contig_1791591_8, MEGAHIT-MetaBAT2-S944.121_contig_6278400_35, MEGAHIT-MetaBAT2-S957.114_contig_3372951_5, MEGAHIT-MetaBAT2-S957.37_contig_3494465_39, MEGAHIT-MetaBAT2-S959.81_contig_4217129_9, MEGAHIT-MetaBAT2-S964.152_contig_6810425_14, MEGAHIT-MetaBAT2-S964.217_contig_4118580_7, MEGAHIT-MetaBAT2-S970.122_contig_4011782_26, MEGAHIT-MetaBAT2-S970.211_contig_7007178_7, MEGAHIT-MetaBAT2-S970.215_contig_2539263_7, MEGAHIT-MetaBAT2-S979.94_contig_4634405_27, MEGAHIT-MetaBAT2-S982.57_contig_3238466_4, MEGAHIT-MetaBAT2-S983.18_contig_3492518_4, MEGAHIT-MetaBAT2-S986.76_contig_2124513_10, MEGAHIT-MetaBAT2-S986.81_contig_6642557_17, MEGAHIT-MetaBAT2-S990.184_contig_3096906_3, MEGAHIT-MetaBAT2-S993.109_contig_3807272_12, group10_bins.334_contig_6684505_13, group10_bins.56_contig_5599061_7, group4_bins.149_contig_3639902_12, group6_bins.275_contig_5808746_31, group6_bins.304_contig_2563997_41, group7_bins.133_contig_331905_13, group7_bins.370_contig_4873715_5, group8_bins.276_contig_3510688_54	rank: C;CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5] (db=kegg)
1534	935_SemiBin_210_contig_5035840_1		rank: C;small subunit ribosomal protein S1 (db=kegg)
1535	935_SemiBin_210_contig_5035857_7	939_SemiBin_272_contig_3873214_21, 954_SemiBin_108_contig_986277_35, 954_SemiBin_2_contig_6136851_4, 991_SemiBin_110_contig_883143_26, MEGAHIT-MetaBAT2-S932.36_contig_1898870_6, MEGAHIT-MetaBAT2-S934.40_contig_3235082_7, MEGAHIT-MetaBAT2-S937.160_contig_3039894_7, MEGAHIT-MetaBAT2-S944.84_contig_2211422_21, MEGAHIT-MetaBAT2-S945.103_contig_2744390_51, MEGAHIT-MetaBAT2-S968.13_contig_6351562_17, MEGAHIT-MetaBAT2-S970.199_contig_3441242_1, MEGAHIT-MetaBAT2-S972.40_contig_3573526_1, MEGAHIT-MetaBAT2-S978.143_contig_6688789_25, MEGAHIT-MetaBAT2-S978.150_contig_345527_10, MEGAHIT-MetaBAT2-S982.27_contig_1053685_1, MEGAHIT-MetaBAT2-S983.160_contig_1010834_7, MEGAHIT-MetaBAT2-S988.167_contig_4499226_31, group10_bins.307_contig_346279_7, group3_bins.117_contig_70439_5, group3_bins.292_contig_3684856_5, group7_bins.409_contig_4307754_4, group9_bins.155_contig_7048784_29	rank: C;small acid-soluble spore protein D (minor alpha/beta-type SASP) (db=kegg)
1536	935_SemiBin_210_contig_5035860_1	MEGAHIT-MetaBAT2-S950.5_contig_1514604_1	rank: E
1537	935_SemiBin_210_contig_5035863_2		rank: E
1538	935_SemiBin_210_contig_5035868_3		rank: C;isoleucyl-tRNA synthetase [EC:6.1.1.5] (db=kegg)
1539	935_SemiBin_210_contig_5035886_13		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)
1540	935_SemiBin_210_contig_5035887_2		rank: C;threonyl-tRNA synthetase [EC:6.1.1.3] (db=kegg)
1541	935_SemiBin_210_contig_5035901_8	group7_bins.281_contig_462910_2	rank: C;large subunit ribosomal protein L27 (db=kegg)
1542	935_SemiBin_210_contig_5035915_6		rank: C;uncharacterized protein (db=kegg)
1543	935_SemiBin_210_contig_5035929_2		rank: C;holliday junction DNA helicase RuvB [EC:5.6.2.4] (db=kegg)
1544	935_SemiBin_210_contig_5035932_5		rank: D;E1-E2 ATPase [PF00122.25];Cation transporting ATPase, C-terminus [PF00689.26];haloacid dehalogenase-like hydrolase [PF00702.31];Cation transporter/ATPase, N-terminus [PF00690.31] (db=pfam)
1545	935_SemiBin_210_contig_5035935_3		rank: C;fructooligosaccharide transport system substrate-binding protein (db=kegg)
1546	935_SemiBin_210_contig_5035943_1		rank: C;elongation factor G (db=kegg)
1547	935_SemiBin_210_contig_5035943_2		rank: C;elongation factor Tu (db=kegg)
1548	935_SemiBin_210_contig_5035945_8		rank: C;maltose transport system substrate-binding protein (db=kegg)
1549	935_SemiBin_210_contig_5035951_2		rank: C;molecular chaperone HtpG (db=kegg)
1550	935_SemiBin_210_contig_5035962_1		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)
1551	935_SemiBin_210_contig_5035963_2		rank: C;small subunit ribosomal protein S6 (db=kegg)
1552	935_SemiBin_210_contig_5035964_3		rank: C;chaperonin GroES (db=kegg)
1553	935_SemiBin_210_contig_5035964_4		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
1554	935_SemiBin_210_contig_5035970_3		rank: D;Peptidase C39 family [PF03412.20];ABC transporter [PF00005.32];Peptidase_C39 like family [PF13529.11];Papain-like cysteine protease AvrRpt2 [PF12385.13] (db=pfam)
1555	935_SemiBin_210_contig_5035970_4	983_SemiBin_265_contig_1939195_3	rank: E
1556	935_SemiBin_210_contig_5035986_3		rank: C;V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1] (db=kegg)
1557	935_SemiBin_210_contig_5036006_15		rank: C;large subunit ribosomal protein L6 (db=kegg)
1558	935_SemiBin_210_contig_5036006_4	939_SemiBin_272_contig_3873225_10, 941_SemiBin_67_contig_4026764_40, 946_SemiBin_374_contig_4629759_16, 950_SemiBin_52_contig_2899265_85, 955_SemiBin_146_contig_875581_11, 968_SemiBin_116_contig_4216136_15, 968_SemiBin_24_contig_3038606_1, 973_SemiBin_32_contig_6606587_26, 983_SemiBin_309_contig_1221212_9, 990_SemiBin_269_contig_1074216_17, 992_SemiBin_141_contig_2220257_61, MEGAHIT-MetaBAT2-S933.74_contig_4561785_17, MEGAHIT-MetaBAT2-S942.43_contig_3757331_2, MEGAHIT-MetaBAT2-S944.127_contig_3265436_7, MEGAHIT-MetaBAT2-S946.235_contig_6774509_35, MEGAHIT-MetaBAT2-S954.88_contig_2519104_26, MEGAHIT-MetaBAT2-S955.122_contig_5786856_5, MEGAHIT-MetaBAT2-S971.50_contig_3457658_5, MEGAHIT-MetaBAT2-S972.108_contig_4175516_31, MEGAHIT-MetaBAT2-S978.143_contig_6688767_27, MEGAHIT-MetaBAT2-S988.167_contig_4499245_58, group10_bins.232_contig_5994820_38, group3_bins.223_contig_636606_44, group3_bins.39_contig_6031563_21, group7_bins.281_contig_463000_9, group7_bins.409_contig_4307786_38, group7_bins.41_contig_629825_34, group8_bins.111_contig_2746914_6	rank: C;small subunit ribosomal protein S19 (db=kegg)
1559	935_SemiBin_210_contig_5036017_3		rank: C;large subunit ribosomal protein L3 (db=kegg)
1560	935_SemiBin_210_contig_5036024_4		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
